gender,marital_status,product_family,product_department,product_category,month_of_year,quarter,the_year,store_sales,store_cost,unit_sales,customer_count,fact_count
F,M,Food,Baking Goods,Baking Goods,9,Q3,1997,324.97,125.7037,178,54,61
F,M,Food,Baking Goods,Baking Goods,10,Q4,1997,223.43,86.9036,127,39,42
F,M,Food,Baking Goods,Baking Goods,11,Q4,1997,292.64,118.5793,169,50,55
F,M,Food,Baking Goods,Baking Goods,12,Q4,1997,389.71,158.0829,204,56,64
F,M,Food,Baking Goods,Jams and Jellies,1,Q1,1997,441.63,178.1285,227,65,72
F,M,Food,Baking Goods,Jams and Jellies,2,Q1,1997,421.03,166.3745,223,61,72
F,M,Food,Baking Goods,Jams and Jellies,3,Q1,1997,366.06,141.8731,197,59,66
F,M,Food,Baking Goods,Jams and Jellies,4,Q2,1997,530.33,210.1688,270,75,84
F,M,Food,Baking Goods,Jams and Jellies,5,Q2,1997,451.85,176.4572,245,70,78
F,M,Food,Baking Goods,Jams and Jellies,6,Q2,1997,499.42,197.3563,242,69,82
F,M,Food,Baking Goods,Jams and Jellies,7,Q3,1997,509.13,198.8117,277,82,95
F,M,Food,Baking Goods,Jams and Jellies,8,Q3,1997,491.98,203.4817,226,65,71
F,M,Food,Baking Goods,Jams and Jellies,9,Q3,1997,388.5,153.7693,213,63,70
F,M,Food,Baking Goods,Jams and Jellies,10,Q4,1997,439.19,172.2344,240,70,77
F,M,Food,Baking Goods,Jams and Jellies,11,Q4,1997,522.07,198.9415,294,80,90
F,M,Food,Baking Goods,Jams and Jellies,12,Q4,1997,515.35,208.8085,248,74,82
F,M,Food,Breakfast Foods,Breakfast Foods,1,Q1,1997,181.19,72.9754,91,24,26
F,M,Food,Breakfast Foods,Breakfast Foods,2,Q1,1997,142.17,54.3143,65,17,19
F,M,Food,Breakfast Foods,Breakfast Foods,3,Q1,1997,140.65,56.3135,70,23,24
F,M,Food,Breakfast Foods,Breakfast Foods,4,Q2,1997,199.46,80.1253,94,30,31
F,M,Food,Breakfast Foods,Breakfast Foods,5,Q2,1997,99.66,42.2719,47,16,16
F,M,Food,Breakfast Foods,Breakfast Foods,6,Q2,1997,155.17,57.5189,79,25,25
F,M,Food,Breakfast Foods,Breakfast Foods,7,Q3,1997,173.03,70.7176,76,24,25
F,M,Food,Breakfast Foods,Breakfast Foods,8,Q3,1997,131.7,50.9464,61,20,20
F,M,Food,Breakfast Foods,Breakfast Foods,9,Q3,1997,177.32,68.527,90,28,28
F,M,Food,Breakfast Foods,Breakfast Foods,10,Q4,1997,129.41,52.176,64,19,21
F,M,Food,Breakfast Foods,Breakfast Foods,11,Q4,1997,191.99,76.4331,87,30,30
F,M,Food,Breakfast Foods,Breakfast Foods,12,Q4,1997,197.45,78.72,99,32,33
F,M,Food,Canned Foods,Canned Anchovies,1,Q1,1997,22.18,8.7178,8,3,3
F,M,Food,Canned Foods,Canned Anchovies,2,Q1,1997,37.58,15.3232,16,6,6
F,M,Food,Canned Foods,Canned Anchovies,3,Q1,1997,48.39,20.4278,20,8,8
F,M,Food,Canned Foods,Canned Anchovies,4,Q2,1997,46.12,19.1504,21,8,8
F,M,Food,Canned Foods,Canned Anchovies,5,Q2,1997,39,15.1194,16,5,5
F,M,Food,Canned Foods,Canned Anchovies,6,Q2,1997,89.1,35.0363,33,11,11
F,M,Food,Canned Foods,Canned Anchovies,7,Q3,1997,59.94,22.009,21,7,7
F,M,Food,Canned Foods,Canned Anchovies,8,Q3,1997,19.44,9.0576,7,2,2
F,M,Food,Canned Foods,Canned Anchovies,9,Q3,1997,39.88,16.7804,19,5,6
F,M,Food,Canned Foods,Canned Anchovies,10,Q4,1997,24.03,8.9028,9,3,3
F,M,Food,Canned Foods,Canned Anchovies,11,Q4,1997,81.47,35.0623,31,10,10
F,M,Food,Canned Foods,Canned Anchovies,12,Q4,1997,68.24,26.6844,27,8,8
F,M,Food,Canned Foods,Canned Clams,1,Q1,1997,34.86,12.558,12,4,4
F,M,Food,Canned Foods,Canned Clams,2,Q1,1997,25.21,11.2952,13,4,4
F,M,Food,Canned Foods,Canned Clams,3,Q1,1997,34.67,14.03,17,6,6
F,M,Food,Canned Foods,Canned Clams,4,Q2,1997,84.71,31.4749,35,11,11
F,M,Food,Canned Foods,Canned Clams,5,Q2,1997,26.22,9.3462,18,5,5
F,M,Food,Canned Foods,Canned Clams,6,Q2,1997,33.04,13.8696,16,4,4
F,M,Food,Canned Foods,Canned Clams,7,Q3,1997,36.48,15.5713,12,4,4
F,M,Food,Canned Foods,Canned Clams,8,Q3,1997,74.89,29.8395,37,11,11
F,M,Food,Canned Foods,Canned Clams,9,Q3,1997,49.02,17.2848,24,8,8
F,M,Food,Canned Foods,Canned Clams,10,Q4,1997,24.74,9.0328,14,5,5
F,M,Food,Canned Foods,Canned Clams,11,Q4,1997,58.36,25.1846,28,9,9
F,M,Food,Canned Foods,Canned Clams,12,Q4,1997,47.84,20.682,20,6,6
F,M,Food,Canned Foods,Canned Oysters,1,Q1,1997,25.8,9.958,14,6,6
F,M,Food,Canned Foods,Canned Oysters,2,Q1,1997,35.82,14.8368,18,6,6
F,M,Food,Canned Foods,Canned Oysters,3,Q1,1997,29.65,11.0657,14,5,5
F,M,Food,Canned Foods,Canned Oysters,4,Q2,1997,55.37,22.1522,29,10,10
F,M,Food,Canned Foods,Canned Oysters,5,Q2,1997,9.6,4.492,6,2,2
F,M,Food,Canned Foods,Canned Oysters,6,Q2,1997,25.27,8.9408,12,4,4
F,M,Food,Canned Foods,Canned Oysters,7,Q3,1997,36.62,14.5596,20,7,7
F,M,Food,Canned Foods,Canned Oysters,8,Q3,1997,12.72,5.3424,6,2,2
F,M,Food,Canned Foods,Canned Oysters,9,Q3,1997,21.56,8.5952,10,3,3
F,M,Food,Canned Foods,Canned Oysters,10,Q4,1997,23.7,8.588,12,5,5
F,M,Food,Canned Foods,Canned Oysters,11,Q4,1997,10.38,4.7244,6,2,2
F,M,Food,Canned Foods,Canned Oysters,12,Q4,1997,22.69,9.8706,11,4,4
F,M,Food,Canned Foods,Canned Sardines,1,Q1,1997,46.06,19.4947,28,9,9
F,M,Food,Canned Foods,Canned Sardines,2,Q1,1997,23.53,9.9907,11,3,4
F,M,Food,Canned Foods,Canned Sardines,3,Q1,1997,17.83,6.2318,13,4,4
F,M,Food,Canned Foods,Canned Sardines,4,Q2,1997,9.56,3.5151,8,3,3
F,M,Food,Canned Foods,Canned Sardines,5,Q2,1997,20.37,8.13,13,4,4
F,M,Food,Canned Foods,Canned Sardines,6,Q2,1997,33.81,13.2519,22,6,6
F,M,Food,Canned Foods,Canned Sardines,7,Q3,1997,11.7,4.8422,10,3,3
F,M,Food,Canned Foods,Canned Sardines,8,Q3,1997,20.32,9.0928,12,3,3
F,M,Food,Canned Foods,Canned Sardines,9,Q3,1997,13.17,5.1741,10,3,3
F,M,Food,Canned Foods,Canned Sardines,10,Q4,1997,11.61,5.4072,7,3,3
F,M,Food,Canned Foods,Canned Sardines,11,Q4,1997,28.82,12.8149,18,6,6
F,M,Food,Canned Foods,Canned Sardines,12,Q4,1997,18.92,7.7462,17,5,5
F,M,Food,Canned Foods,Canned Shrimp,1,Q1,1997,40.25,16.0614,14,5,5
F,M,Food,Canned Foods,Canned Shrimp,2,Q1,1997,66.29,23.8313,26,8,8
F,M,Food,Canned Foods,Canned Shrimp,3,Q1,1997,81.4,32.9072,32,10,10
F,M,Food,Canned Foods,Canned Shrimp,4,Q2,1997,13.28,5.22,6,2,2
F,M,Food,Canned Foods,Canned Shrimp,5,Q2,1997,43.96,16.922,17,6,6
F,M,Food,Canned Foods,Canned Shrimp,6,Q2,1997,28.92,12.2938,10,4,4
F,M,Food,Canned Foods,Canned Shrimp,7,Q3,1997,29.02,12.1625,11,4,4
F,M,Food,Canned Foods,Canned Shrimp,8,Q3,1997,27.44,10.8286,11,3,4
F,M,Food,Canned Foods,Canned Shrimp,9,Q3,1997,42.02,16.2674,17,6,6
F,M,Food,Canned Foods,Canned Shrimp,10,Q4,1997,22.53,9.3675,9,4,4
F,M,Food,Canned Foods,Canned Shrimp,11,Q4,1997,37.64,14.6083,13,5,5
F,M,Food,Canned Foods,Canned Shrimp,12,Q4,1997,50.28,18.1066,18,6,6
F,M,Food,Canned Foods,Canned Soup,1,Q1,1997,425.02,173.1946,207,62,66
F,M,Food,Canned Foods,Canned Soup,2,Q1,1997,299.45,116.0146,162,48,52
F,M,Food,Canned Foods,Canned Soup,3,Q1,1997,347.09,141.2064,180,53,58
F,M,Food,Canned Foods,Canned Soup,4,Q2,1997,289.06,115.3469,145,46,50
F,M,Food,Canned Foods,Canned Soup,5,Q2,1997,304.27,125.7282,153,43,49
F,M,Food,Canned Foods,Canned Soup,6,Q2,1997,340.15,134.0949,163,47,52
F,M,Food,Canned Foods,Canned Soup,7,Q3,1997,330.61,130.9953,157,46,49
F,M,Food,Canned Foods,Canned Soup,8,Q3,1997,317.32,126.3085,139,45,48
F,M,Food,Canned Foods,Canned Soup,9,Q3,1997,312.08,125.8791,166,51,59
F,M,Food,Canned Foods,Canned Soup,10,Q4,1997,286.97,114.0648,145,44,47
F,M,Food,Canned Foods,Canned Soup,11,Q4,1997,342.63,140.8126,166,51,56
F,M,Food,Canned Foods,Canned Soup,12,Q4,1997,319.61,128.6822,160,50,55
F,M,Food,Canned Foods,Canned Tuna,1,Q1,1997,99.89,38.9773,52,16,16
F,M,Food,Canned Foods,Canned Tuna,2,Q1,1997,57.95,24.2787,32,10,10
F,M,Food,Canned Foods,Canned Tuna,3,Q1,1997,40.04,16.1942,23,8,8
F,M,Food,Canned Foods,Canned Tuna,4,Q2,1997,22.06,8.9222,13,5,5
F,M,Food,Canned Foods,Canned Tuna,5,Q2,1997,66.94,24.671,38,12,12
F,M,Food,Canned Foods,Canned Tuna,6,Q2,1997,56.59,20.8016,30,11,11
F,M,Food,Canned Foods,Canned Tuna,7,Q3,1997,60.55,25.3088,30,9,10
F,M,Food,Canned Foods,Canned Tuna,8,Q3,1997,67.88,26.3372,38,12,13
F,M,Food,Canned Foods,Canned Tuna,9,Q3,1997,101.19,41.4606,50,13,14
F,M,Food,Canned Foods,Canned Tuna,10,Q4,1997,89.19,37.2185,46,16,17
F,M,Food,Canned Foods,Canned Tuna,11,Q4,1997,89.33,37.0995,45,15,15
F,M,Food,Canned Foods,Canned Tuna,12,Q4,1997,65.23,27.7709,38,12,12
F,M,Food,Canned Foods,Vegetables,1,Q1,1997,332.4,134.8658,145,45,48
F,M,Food,Canned Foods,Vegetables,2,Q1,1997,168.75,66.3293,70,23,23
F,M,Food,Canned Foods,Vegetables,3,Q1,1997,198.43,80.3348,98,31,33
F,M,Food,Canned Foods,Vegetables,4,Q2,1997,305.48,118.3942,121,37,40
F,M,Food,Canned Foods,Vegetables,5,Q2,1997,271.25,110.9731,120,35,36
F,M,Food,Canned Foods,Vegetables,6,Q2,1997,221.33,85.4159,93,29,30
F,M,Food,Canned Foods,Vegetables,7,Q3,1997,227.96,90.1024,107,36,36
F,M,Food,Canned Foods,Vegetables,8,Q3,1997,181.66,71.7018,85,26,27
F,M,Food,Canned Foods,Vegetables,9,Q3,1997,178.67,69.7454,78,28,28
F,M,Food,Canned Foods,Vegetables,10,Q4,1997,159.9,64.8947,71,22,23
F,M,Food,Canned Foods,Vegetables,11,Q4,1997,329.8,135.151,149,44,47
F,M,Food,Canned Foods,Vegetables,12,Q4,1997,283.6,109.5876,143,43,44
F,M,Food,Canned Products,Fruit,1,Q1,1997,48.37,20.7838,24,7,7
F,M,Food,Canned Products,Fruit,2,Q1,1997,53.56,20.0422,32,11,11
F,M,Food,Canned Products,Fruit,3,Q1,1997,45.9,17.262,32,10,10
F,M,Food,Canned Products,Fruit,4,Q2,1997,74.5,30.9513,43,14,14
F,M,Food,Canned Products,Fruit,5,Q2,1997,91.87,34.6406,49,15,16
F,M,Food,Canned Products,Fruit,6,Q2,1997,18.74,8.3005,16,5,5
F,M,Food,Canned Products,Fruit,7,Q3,1997,60.4,24.7108,40,12,12
F,M,Food,Canned Products,Fruit,8,Q3,1997,68.11,27.293,40,13,13
F,M,Food,Canned Products,Fruit,9,Q3,1997,68.8,24.6607,34,10,12
F,M,Food,Canned Products,Fruit,10,Q4,1997,88.19,36.2415,45,15,15
F,M,Food,Canned Products,Fruit,11,Q4,1997,53,20.0571,28,10,10
F,M,Food,Canned Products,Fruit,12,Q4,1997,109.32,44.815,61,19,20
F,M,Food,Dairy,Dairy,1,Q1,1997,884.04,346.5602,354,92,115
F,M,Food,Dairy,Dairy,2,Q1,1997,556.25,223.541,236,71,80
F,M,Food,Dairy,Dairy,3,Q1,1997,684.84,275.6194,269,72,86
F,M,Food,Dairy,Dairy,4,Q2,1997,732.95,295.1937,296,86,96
F,M,Food,Dairy,Dairy,5,Q2,1997,544.13,218.3175,228,61,73
F,M,Food,Dairy,Dairy,6,Q2,1997,546.02,219.6544,238,73,81
F,M,Food,Dairy,Dairy,7,Q3,1997,803.02,323.0628,335,87,106
F,M,Food,Dairy,Dairy,8,Q3,1997,528.2,212.8027,219,69,75
F,M,Food,Dairy,Dairy,9,Q3,1997,569.94,219.5246,242,70,83
F,M,Food,Dairy,Dairy,10,Q4,1997,557.64,229.6895,217,56,72
F,M,Food,Dairy,Dairy,11,Q4,1997,801.38,322.5962,321,84,100
F,M,Food,Dairy,Dairy,12,Q4,1997,785.21,317.3532,359,98,113
F,M,Food,Deli,Meat,1,Q1,1997,442.98,179.4658,221,64,70
F,M,Food,Deli,Meat,2,Q1,1997,365.83,141.4372,167,54,59
F,M,Food,Deli,Meat,3,Q1,1997,423.35,171.3711,195,58,64
F,M,Food,Deli,Meat,4,Q2,1997,232.66,92.1378,110,34,34
F,M,Food,Deli,Meat,5,Q2,1997,342.45,132.688,173,49,56
F,M,Food,Deli,Meat,6,Q2,1997,397.63,158.5812,178,55,58
F,M,Food,Deli,Meat,7,Q3,1997,429.14,169.6787,199,53,64
F,M,Food,Deli,Meat,8,Q3,1997,400.75,154.7856,178,56,57
F,M,Food,Deli,Meat,9,Q3,1997,376.67,151.2545,173,49,57
F,M,Food,Deli,Meat,10,Q4,1997,369.15,148.75,156,47,51
F,M,Food,Deli,Meat,11,Q4,1997,618.94,248.0592,282,80,95
F,M,Food,Deli,Meat,12,Q4,1997,490.57,193.415,243,74,77
F,M,Food,Deli,Side Dishes,1,Q1,1997,93.46,36.9227,61,20,20
F,M,Food,Deli,Side Dishes,2,Q1,1997,51.03,21.5915,30,11,12
F,M,Food,Deli,Side Dishes,3,Q1,1997,54.97,21.7104,38,13,13
F,M,Food,Deli,Side Dishes,4,Q2,1997,58.38,24.4641,33,10,10
F,M,Food,Deli,Side Dishes,5,Q2,1997,72.03,27.7683,42,16,16
F,M,Food,Deli,Side Dishes,6,Q2,1997,69.18,28.5045,40,13,13
F,M,Food,Deli,Side Dishes,7,Q3,1997,96.81,38.4154,54,18,18
F,M,Food,Deli,Side Dishes,8,Q3,1997,54.6,21.92,33,10,10
F,M,Food,Deli,Side Dishes,9,Q3,1997,106.75,40.6175,58,18,18
F,M,Food,Deli,Side Dishes,10,Q4,1997,87.43,35.4029,46,13,14
F,M,Food,Deli,Side Dishes,11,Q4,1997,147.5,57.6072,69,21,22
F,M,Food,Deli,Side Dishes,12,Q4,1997,142.99,56.9915,76,22,24
F,M,Food,Eggs,Eggs,1,Q1,1997,205.44,80.0197,102,30,30
F,M,Food,Eggs,Eggs,2,Q1,1997,137.61,54.449,78,28,28
F,M,Food,Eggs,Eggs,3,Q1,1997,109.1,45.7129,62,21,21
F,M,Food,Eggs,Eggs,4,Q2,1997,128.7,52.1809,75,25,25
F,M,Food,Eggs,Eggs,5,Q2,1997,181.64,71.062,80,24,24
F,M,Food,Eggs,Eggs,6,Q2,1997,188.55,75.8498,98,29,30
F,M,Food,Eggs,Eggs,7,Q3,1997,249.05,95.4482,110,34,36
F,M,Food,Eggs,Eggs,8,Q3,1997,196.79,76.3464,79,26,27
F,M,Food,Eggs,Eggs,9,Q3,1997,162.76,66.5869,80,26,26
F,M,Food,Eggs,Eggs,10,Q4,1997,143.97,60.1727,56,17,19
F,M,Food,Eggs,Eggs,11,Q4,1997,234.33,93.0593,107,32,32
F,M,Food,Eggs,Eggs,12,Q4,1997,187.97,75.2587,92,32,32
F,M,Food,Frozen Foods,Breakfast Foods,1,Q1,1997,164.51,65.349,86,28,29
F,M,Food,Frozen Foods,Breakfast Foods,2,Q1,1997,154.69,60.9049,95,31,32
F,M,Food,Frozen Foods,Breakfast Foods,3,Q1,1997,189.7,74.9033,114,34,38
F,M,Food,Frozen Foods,Breakfast Foods,4,Q2,1997,111.87,44.8772,64,21,23
F,M,Food,Frozen Foods,Breakfast Foods,5,Q2,1997,199.05,77.1372,130,43,45
F,M,Food,Frozen Foods,Breakfast Foods,6,Q2,1997,96.32,35.1463,60,20,21
F,M,Food,Frozen Foods,Breakfast Foods,7,Q3,1997,175.83,73.3938,95,29,32
F,M,Food,Frozen Foods,Breakfast Foods,8,Q3,1997,185.94,75.8577,124,38,40
F,M,Food,Frozen Foods,Breakfast Foods,9,Q3,1997,161,64.8182,89,26,27
F,M,Food,Frozen Foods,Breakfast Foods,10,Q4,1997,198.54,73.3454,100,30,33
F,M,Food,Frozen Foods,Breakfast Foods,11,Q4,1997,218.24,83.2692,100,32,34
F,M,Food,Frozen Foods,Breakfast Foods,12,Q4,1997,187.47,78.9525,117,35,38
F,M,Food,Frozen Foods,Frozen Desserts,1,Q1,1997,325.85,134.1001,153,46,49
F,M,Food,Frozen Foods,Frozen Desserts,2,Q1,1997,190.77,75.7098,106,33,37
F,M,Food,Frozen Foods,Frozen Desserts,3,Q1,1997,313.35,128.8646,151,41,45
F,M,Food,Frozen Foods,Frozen Desserts,4,Q2,1997,219.69,92.3149,95,31,34
F,M,Food,Frozen Foods,Frozen Desserts,5,Q2,1997,301.35,121.5641,145,45,48
F,M,Food,Frozen Foods,Frozen Desserts,6,Q2,1997,275.44,112.1271,130,38,41
F,M,Food,Frozen Foods,Frozen Desserts,7,Q3,1997,242.27,98.2706,116,37,42
F,M,Food,Frozen Foods,Frozen Desserts,8,Q3,1997,298.82,119.34,131,42,44
F,M,Food,Frozen Foods,Frozen Desserts,9,Q3,1997,255.76,101.8475,126,38,40
F,M,Food,Frozen Foods,Frozen Desserts,10,Q4,1997,208.68,87.8786,90,27,27
F,M,Food,Frozen Foods,Frozen Desserts,11,Q4,1997,257.27,100.7943,124,38,43
F,M,Food,Frozen Foods,Frozen Desserts,12,Q4,1997,345.94,131.5258,142,44,47
F,M,Food,Frozen Foods,Frozen Entrees,1,Q1,1997,125.24,48.7125,50,16,16
F,M,Food,Frozen Foods,Frozen Entrees,2,Q1,1997,183.72,75.4936,69,22,23
F,M,Food,Frozen Foods,Frozen Entrees,3,Q1,1997,172.5,68.192,74,27,27
F,M,Food,Frozen Foods,Frozen Entrees,4,Q2,1997,165.85,65.5179,66,19,20
F,M,Food,Frozen Foods,Frozen Entrees,5,Q2,1997,124.92,48.1921,46,14,15
F,M,Food,Frozen Foods,Frozen Entrees,6,Q2,1997,91.94,38.0936,42,13,14
