product_id,time_id,warehouse_id,store_id,units_ordered,units_shipped,warehouse_sales,warehouse_cost,supply_time,store_invoice
1326,375,3,3,59,59,40.356,21.7922,4,25.4969
849,375,3,3,63,63,44.6985,24.5842,1,28.5177
306,375,3,3,80,80,161.568,84.0154,1,95.7776
377,375,3,3,94,18,18.144,9.6163,4,11.3472
993,375,3,3,78,78,132.483,62.267,2,69.1164
289,375,3,3,46,46,33.4006,18.3703,3,21.4933
673,370,3,3,68,68,85.7072,45.4248,4,51.33
450,370,3,3,34,34,41.2488,21.4494,4,23.8088
1532,370,3,3,75,75,32.3175,14.8661,3,17.3933
989,370,3,3,66,66,18.2952,9.6965,3,11.6358
1060,370,3,3,19,5,8.036,2.4108,3,2.6519
117,370,3,3,30,30,28.05,9.8175,3,11.5846
972,370,3,3,93,93,76.7343,42.9712,2,50.706
215,419,3,3,27,22,6.7782,3.9991,1,4.7989
1019,419,3,3,74,74,116.2392,56.9572,2,63.7921
996,419,3,3,60,37,11.322,6.68,4,7.9492
1479,419,3,3,82,8,4.3216,1.8583,3,2.137
1175,419,3,3,52,52,27.8876,12.2705,1,14.1111
1258,419,3,3,69,52,15.5428,5.7508,2,6.5559
1008,419,3,3,76,76,26.3796,9.4967,3,10.6363
199,419,3,3,26,26,24.3152,14.5891,4,16.9234
1069,419,3,3,18,18,3.6936,1.3666,1,1.5169
432,419,3,3,61,44,41.36,13.6488,2,15.6961
369,419,3,3,39,16,13.984,5.3139,3,5.8453
1385,419,3,3,78,78,110.448,40.8658,3,48.6303
1042,419,3,3,29,29,15.0075,5.8529,1,6.5552
1039,389,2,2,74,74,24.5754,12.2877,6,13.5165
30,389,2,2,47,47,29.1588,9.3308,5,10.5438
1499,389,2,2,34,34,14.6506,8.3508,4,9.1859
623,389,2,2,67,67,39.798,13.9293,6,15.6008
1279,389,2,2,17,17,25.6632,10.7785,6,11.9641
456,389,2,2,19,19,17.2482,7.2442,2,8.4033
633,389,2,2,100,100,38.48,14.6224,2,17.1082
517,389,2,2,71,71,86.904,50.4043,6,55.4447
866,389,2,2,55,12,18.2688,7.6729,3,9.054
962,389,2,2,33,33,27.7695,14.4401,5,16.0285
1406,389,2,2,41,41,11.7096,4.0984,5,4.5492
490,389,2,2,66,66,54.45,28.8585,3,34.3416
533,389,2,2,75,75,83.49,37.5705,5,43.5818
251,381,2,2,66,66,96.624,37.6834,5,41.8286
468,381,2,2,86,86,86.7912,38.1881,5,44.2982
1377,381,2,2,85,85,122.6805,44.165,4,49.4648
207,381,2,2,74,74,45.88,14.2228,3,16.4984
184,381,2,2,19,19,27.778,13.889,7,15.9724
667,381,2,2,91,91,123.4506,70.3668,2,77.4035
269,383,2,2,91,91,139.5576,79.5478,6,92.2754
778,383,2,2,75,75,104.04,53.0604,3,63.6725
1222,383,2,2,82,82,70.315,36.5638,5,41.3171
1451,383,2,2,35,35,18.711,10.8524,6,12.6973
1494,383,2,2,11,11,10.3488,5.0709,6,5.8822
219,383,2,2,24,24,19.9584,8.7817,5,9.7477
928,383,2,2,59,59,55.4895,30.5192,3,35.7075
772,383,2,2,17,8,6.208,2.7315,3,3.1139
96,383,2,2,65,65,56.2315,23.6172,7,27.396
152,383,2,2,13,13,17.2822,6.0488,3,6.8351
1128,383,2,2,69,69,66.6333,22.6553,5,25.1474
1318,383,2,2,19,19,9.3651,5.3381,7,6.1388
627,383,2,2,11,11,6.171,2.1599,2,2.3759
870,383,2,2,54,34,24.7826,7.6826,4,8.7582
554,383,2,2,31,10,11.304,4.0694,5,4.8426
736,418,3,3,22,22,26.7102,15.4919,2,17.196
647,418,3,3,36,36,31.5648,13.5729,3,16.016
1330,418,3,3,26,22,14.3374,7.1687,2,8.3157
426,418,3,3,75,75,19.35,5.9985,2,6.7783
1163,418,3,3,33,33,13.8006,6.3483,3,6.9831
1340,418,3,3,37,32,37.8304,21.9416,3,25.2328
1223,418,3,3,62,62,16.0952,8.2086,1,9.4399
1131,421,3,3,17,17,20.808,6.4505,3,7.7406
242,421,3,3,48,48,43.512,14.359,2,16.2257
204,421,3,3,67,67,35.376,13.4429,2,15.7282
1047,421,3,3,67,67,121.1896,44.8402,2,51.1178
491,421,3,3,56,56,64.8648,21.4054,4,23.76
1014,421,3,3,25,25,8.26,3.6344,3,4.2522
591,421,3,3,73,6,4.1418,1.781,1,2.0838
714,421,3,3,64,64,103.68,43.5456,4,51.8193
453,413,3,3,42,42,45.3768,22.2346,3,24.9028
349,413,3,3,71,37,32.0346,10.8918,1,12.5256
1391,413,3,3,24,24,12.528,6.0134,2,6.9154
236,413,3,3,78,28,23.3128,12.1227,3,13.5774
998,413,3,3,17,17,8.2875,3.5636,3,4.205
1002,413,3,3,96,96,100.6848,38.2602,2,42.8514
81,416,3,3,40,40,50.268,29.1554,2,33.8203
285,416,3,3,42,42,32.8104,16.4052,3,19.5222
502,416,3,3,57,57,68.6622,37.0776,2,44.4931
997,416,3,3,28,28,47.9024,17.2449,1,19.8316
242,416,3,3,79,79,83.8901,43.6229,2,51.0388
219,416,3,3,19,19,15.8004,4.8981,4,5.5349
701,416,3,3,62,62,14.415,5.3335,1,6.2402
398,416,3,3,38,38,16.416,9.193,2,10.2962
481,416,3,3,45,45,65.4075,34.0119,3,39.7939
975,449,3,3,82,82,169.576,55.9601,1,63.2349
1085,449,3,3,97,97,93.4304,55.1239,3,62.8412
1169,449,3,3,68,68,115.5048,56.5974,3,66.219
919,449,3,3,28,28,23.2848,8.1497,4,9.0462
109,449,3,3,59,59,107.203,47.1693,2,55.1881
979,449,3,3,78,36,68.04,38.1024,2,44.9608
342,449,3,3,39,39,23.985,12.4722,4,14.4678
1425,449,3,3,48,10,7.848,3.0607,2,3.6728
1295,449,3,3,87,87,88.5225,48.6874,3,54.043
394,440,3,3,67,67,96.4666,50.1626,2,55.6805
144,440,3,3,46,41,11.5005,6.3253,2,7.2108
894,440,3,3,10,10,1.938,0.9496,1,1.0541
1350,440,3,3,43,43,18.1976,10.7366,3,12.2397
1127,440,3,3,89,89,130.5808,47.0091,3,54.0605
650,440,3,3,91,91,55.0095,19.8034,4,23.368
107,440,3,3,82,82,84.5994,27.0718,3,32.2154
178,440,3,3,53,53,34.5401,17.9609,3,20.1162
688,436,3,3,32,25,26.6625,15.1976,2,17.3253
39,436,3,3,57,57,74.4534,37.2267,3,41.3216
428,436,3,3,23,23,4.9312,2.367,3,2.8404
405,436,3,3,63,25,38.745,18.9851,4,21.8329
888,436,3,3,87,87,38.28,11.8668,4,13.2908
999,436,3,3,18,18,28.2924,9.0536,3,10.0495
1082,436,3,3,35,35,24.066,8.9044,3,10.5962
832,436,3,3,98,98,123.8328,70.5847,3,83.2899
22,436,3,3,85,85,93.432,48.5846,4,57.8157
1111,428,3,3,35,35,13.65,4.368,4,5.1979
1088,428,3,3,73,73,133.298,73.3139,1,85.0441
12,428,3,3,62,17,8.3776,3.6024,3,3.9626
1267,428,3,3,54,54,47.52,25.6608,1,30.0231
1351,428,3,3,12,12,6.6132,2.5791,2,2.9402
1101,428,3,3,41,41,61.2294,24.4918,4,27.9207
291,428,3,3,58,58,46.3536,20.8591,3,23.1536
1161,428,3,3,31,31,57.8708,23.727,4,26.8115
379,443,3,3,21,21,26.6805,12.5398,2,13.9192
529,443,3,3,74,74,53.4798,24.0659,2,27.1945
80,443,3,3,22,22,30.3468,11.5318,3,12.685
1428,443,3,3,78,78,177.6372,65.7258,3,78.2137
86,443,3,3,29,29,38.7585,14.7282,1,16.4956
996,443,3,3,20,20,9.35,3.553,2,4.157
240,443,3,3,87,87,23.9424,9.8164,1,11.5834
1362,443,3,3,81,81,38.6208,18.9242,1,22.5198
809,465,3,3,33,33,20.5326,9.445,3,10.3895
825,465,3,3,37,31,40.3558,23.4064,3,26.9174
775,465,3,3,62,62,25.327,12.9168,1,14.8543
925,465,3,3,28,28,7.2352,3.6176,1,4.0879
476,465,3,3,68,68,146.0368,64.2562,2,75.1798
266,465,3,3,60,60,37.908,19.3331,4,21.6531
482,465,3,3,13,13,4.2705,2.3061,2,2.5828
1392,465,3,3,97,59,15.6704,5.1712,3,6.0503
222,465,3,3,21,21,29.0325,15.6776,2,18.8131
1463,477,3,3,42,2,2.376,0.7603,2,0.8591
54,477,3,3,30,30,43.071,21.1048,1,23.6374
749,477,3,3,39,39,46.8585,15.4633,1,17.9374
953,477,3,3,91,91,82.2822,49.3693,4,56.281
1170,477,3,3,13,13,14.1245,6.2148,1,7.0849
520,477,3,3,66,66,75.768,31.8226,2,36.9142
909,477,3,3,14,14,9.982,3.4937,3,3.9479
887,477,3,3,70,70,46.62,15.8508,3,17.5944
1369,477,3,3,20,20,21.632,7.7875,4,8.9556
1480,477,3,3,12,4,2.016,0.625,1,0.7188
4,477,3,3,15,15,20.748,6.4319,3,7.3324
1313,477,3,3,32,11,15.5232,5.5884,3,6.7061
504,477,3,3,96,96,100.6848,43.2945,3,51.0875
959,477,3,3,46,46,29.67,10.6812,2,11.9629
737,477,3,3,14,14,9.4976,4.1789,2,4.8893
1114,458,3,3,20,20,34.2,16.074,1,18.6458
1464,458,3,3,60,60,65.712,26.9419,2,32.3303
415,458,3,3,52,52,71.1204,34.849,2,40.0764
444,458,3,3,95,95,132.867,67.7622,1,77.9265
1087,458,3,3,89,89,78.3022,27.4058,3,32.3388
1131,458,3,3,85,85,112.2,42.636,2,49.0314
1414,458,3,3,81,81,48.843,22.9562,3,25.4814
565,458,3,3,86,86,23.994,14.1565,3,16.1384
1553,458,3,3,85,85,63.24,29.7228,2,34.4784
877,458,3,3,92,92,66.8656,34.7701,2,40.3333
1347,458,3,3,27,27,17.6823,8.4875,4,9.7606
764,458,3,3,37,37,46.5201,14.8864,1,16.6728
954,458,3,3,88,88,67.3728,34.3601,4,40.2013
112,484,3,3,30,30,13.56,7.5936,4,9.1123
195,484,3,3,30,30,17.523,9.6377,3,11.1797
1505,484,3,3,19,19,16.1975,8.2607,3,9.0868
695,484,3,3,78,78,85.1136,31.492,2,34.9561
1151,484,3,3,53,53,12.4868,6.4931,4,7.532
928,484,3,3,57,57,38.5605,20.4371,1,23.5027
263,478,3,3,50,50,62.7,23.826,4,28.1147
107,478,3,3,18,7,5.7015,2.2806,2,2.6911
989,478,3,3,20,20,6.72,2.7552,3,3.2511
1045,478,3,3,38,38,67.488,25.6454,3,29.4922
463,478,3,3,11,6,4.35,1.9575,3,2.3294
1066,478,3,3,52,52,79.6484,30.2664,2,34.8064
1229,478,3,3,44,44,31.46,14.4716,2,16.9318
1472,478,3,3,86,86,75.68,36.3264,4,42.8652
1156,478,3,3,81,81,58.968,33.6118,2,39.998
546,478,3,3,60,60,60.048,36.0288,1,42.514
816,478,3,3,73,73,88.6001,39.87,3,46.2492
833,478,3,3,78,46,61.5664,31.3989,3,36.7367
940,504,3,3,93,93,108.2892,55.2275,4,65.7207
1556,504,3,3,75,75,113.2875,62.3081,3,70.4082
1267,504,3,3,97,97,55.872,24.025,2,28.3495
990,504,3,3,81,81,106.1424,59.4397,2,68.3557
1406,504,3,3,16,16,2.9568,1.301,4,1.5092
157,504,3,3,49,47,80.417,24.9293,4,29.1673
1200,504,3,3,64,64,65.824,30.9373,2,36.8154
1190,504,3,3,95,95,48.165,26.9724,4,31.0183
807,504,3,3,24,21,9.4752,5.4009,2,6.049
811,504,3,3,42,1,1.3365,0.4143,3,0.4764
68,504,3,3,90,72,143.5392,83.2527,1,94.9081
324,504,3,3,30,30,24.822,9.9288,1,11.716
701,504,3,3,28,28,10.71,6.2118,3,6.833
1090,489,3,3,20,20,18.06,8.4882,3,9.8463
1134,489,3,3,60,60,40.404,16.5656,2,19.8787
1417,489,3,3,28,28,47.5076,23.2787,2,26.7705
154,489,3,3,95,95,100.548,43.2356,1,49.7209
1556,489,3,3,89,89,125.0005,73.7503,3,84.0753
880,489,3,3,68,68,124.1,40.953,1,45.4578
1350,489,3,3,64,64,22.9632,9.6445,3,11.477
353,489,3,3,45,45,38.8575,20.9831,2,23.5011
957,489,3,3,68,66,64.6866,27.8152,4,32.5438
1407,505,3,3,26,26,6.0606,3.3333,2,3.6666
131,505,3,3,13,13,14.352,7.176,1,8.4677
841,505,3,3,45,45,48.285,14.4855,3,16.0789
685,505,3,3,91,91,64.0458,23.6969,3,28.1993
8,505,3,3,93,93,142.1133,52.5819,4,58.8917
65,505,3,3,84,48,59.5584,22.6322,3,26.027
1041,505,3,3,14,14,4.473,2.4602,1,2.78
80,493,3,3,52,52,79.2792,34.0901,3,37.4991
1456,493,3,3,25,25,20.5875,6.7939,3,7.4733
446,493,3,3,12,12,24.3,14.094,1,15.6443
1502,493,3,3,44,44,44.5104,26.7062,4,29.3768
625,493,3,3,90,90,66.654,29.3278,4,32.5539
136,493,3,3,19,19,25.0002,10.5001,2,12.1801
459,493,3,3,34,34,6.528,3.0029,1,3.5134
636,493,3,3,95,95,110.352,64.0042,4,72.3247
519,493,3,3,55,55,69.333,30.5065,2,34.7774
869,493,3,3,86,86,100.276,53.1463,3,63.7756
1379,493,3,3,39,39,40.4352,23.8568,3,27.1968
263,493,3,3,15,15,26.22,13.11,4,14.421
492,493,3,3,28,28,22.302,10.2589,3,11.7977
536,493,3,3,63,63,44.7174,25.4889,1,29.0573
670,492,3,3,69,69,64.2252,30.1858,2,34.4118
780,492,3,3,69,69,88.182,33.5092,3,36.8601
863,492,3,3,57,57,74.7384,25.4111,2,29.2228
614,492,3,3,26,26,51.1056,25.5528,4,29.6412
1363,492,3,3,91,91,123.4506,43.2077,2,48.8247
674,492,3,3,30,30,51.516,18.5458,3,20.7713
37,492,3,3,47,47,23.9136,9.8046,2,11.4714
1506,521,3,3,58,58,115.3852,45.0002,4,53.5502
1456,521,3,3,96,96,96.624,30.9197,2,36.4852
46,521,3,3,61,32,34.1248,17.4036,3,19.144
1156,521,3,3,77,77,77.077,23.8939,2,28.4337
946,521,3,3,36,36,33.858,15.9133,3,18.1412
1162,521,3,3,40,40,22.26,10.4622,4,11.8223
513,521,3,3,57,57,14.2158,6.255,4,6.943
902,521,3,3,54,54,24.6186,8.6165,3,9.7366
879,521,3,3,41,41,25.4856,15.2914,2,16.9735
1362,521,3,3,74,74,41.8988,16.7595,4,19.1058
1472,521,3,3,29,29,35.09,16.1414,4,18.0784
1555,521,3,3,31,31,34.751,15.9855,2,18.3833
1306,521,3,3,22,22,30.9738,13.009,4,15.0904
496,521,3,3,84,84,28.224,15.241,3,16.9175
952,521,3,3,68,25,34.92,13.2696,2,15.7908
1241,532,3,3,90,90,134.1,41.571,3,47.3909
1418,532,3,3,26,26,21.3486,10.6743,3,12.5957
1301,532,3,3,53,53,15.9424,7.6524,3,8.8768
92,532,3,3,89,89,34.7189,11.11,3,12.8876
602,532,3,3,29,29,29.7888,17.8733,3,21.0905
1045,532,3,3,67,67,131.387,69.6351,1,80.0804
1274,532,3,3,56,11,8.646,3.5449,2,4.2539
1318,532,3,3,49,49,24.1521,12.5591,1,14.5686
42,532,3,3,97,97,84.7974,31.375,2,35.4538
751,532,3,3,35,35,42.1575,16.0199,3,18.1025
595,532,3,3,52,52,25.1056,10.7954,3,11.9829
846,529,3,3,95,95,74.727,23.1654,4,27.3352
1089,529,3,3,17,3,3.4086,1.0908,1,1.2762
773,529,3,3,43,43,13.4332,5.1046,1,5.6661
163,529,3,3,42,42,36.9852,21.8213,2,25.5309
20,529,3,3,31,31,30.163,16.5897,4,18.5805
36,529,3,3,90,90,59.94,21.5784,2,23.952
1545,529,3,3,48,48,40.6704,20.7419,3,24.4754
136,529,3,3,76,76,108.8244,54.4122,1,63.6623
88,523,3,3,45,45,22.833,8.4482,2,9.462
1491,523,3,3,56,56,63.5712,37.507,3,42.3829
815,523,3,3,20,20,8.28,4.7196,2,5.3803
1285,523,3,3,58,58,45.5532,22.7766,4,25.9653
288,523,3,3,24,24,21.9648,10.7628,1,12.162
892,523,3,3,64,64,99.5904,41.828,2,48.5205
1468,523,3,3,56,56,26.1072,13.0536,3,14.4895
1298,523,3,3,99,99,58.3704,30.3526,1,33.9949
981,523,3,3,93,52,20.4724,6.5512,2,7.6649
371,523,3,3,17,17,3.8148,1.9837,2,2.3606
642,523,3,3,93,93,66.3834,31.2002,4,36.5042
659,523,3,3,36,36,63.558,36.2281,3,43.4737
609,523,3,3,82,82,87.0758,27.8643,3,32.6012
758,523,3,3,78,55,56.144,33.6864,3,39.4131
632,541,3,3,38,38,10.4082,4.0592,2,4.6275
636,541,3,3,42,42,39.9168,15.9667,4,18.202
1452,541,3,3,59,53,68.9265,23.435,2,26.4815
149,541,3,3,66,66,57.519,18.9813,3,21.0692
526,541,3,3,16,14,10.71,4.7124,1,5.6549
1369,541,3,3,97,97,111.4724,65.7687,1,75.634
399,541,3,3,11,11,3.4452,2.0671,3,2.3565
1336,541,3,3,28,8,9.492,3.3222,2,3.9534
499,541,3,3,92,92,149.776,61.4082,3,72.4617
1036,541,3,3,42,42,37.7496,13.2124,2,14.6658
253,541,3,3,95,95,42.275,17.3328,2,20.106
1042,541,3,3,71,71,28.5775,10.0021,3,11.6024
1379,541,3,3,66,66,72.2304,31.7814,2,37.5021
1196,541,3,3,44,44,39.8288,21.9058,4,24.9726
1120,558,3,3,85,85,72.675,34.884,4,39.7678
364,558,3,3,79,79,86.9,48.664,2,55.9636
1486,558,3,3,58,58,47.4904,28.0193,1,31.3816
410,558,3,3,54,26,12.4488,6.5979,2,7.6536
521,558,3,3,55,55,99.825,32.9423,3,37.8836
604,558,3,3,11,1,0.5,0.245,2,0.2695
354,558,3,3,15,15,13.5,7.695,2,8.6184
1475,557,3,3,73,73,119.5448,65.7496,3,78.242
492,557,3,3,96,96,79.8624,34.3408,2,38.1183
322,557,3,3,79,79,124.7726,68.6249,2,76.1736
5,557,3,3,38,38,43.2744,19.0407,4,22.8488
954,557,3,3,48,48,39.2544,22.375,4,25.955
1225,557,3,3,75,75,74.82,41.151,3,46.0891
1241,557,3,3,21,21,27.5352,10.7387,4,12.0273
1192,557,3,3,51,51,21.9912,8.1367,1,9.2758
1341,557,3,3,89,89,125.8905,37.7672,2,43.0546
892,557,3,3,54,54,47.1744,17.4545,2,19.549
682,557,3,3,29,29,9.9064,3.071,3,3.5624
1307,560,3,3,66,66,37.4616,21.3531,2,25.4102
231,560,3,3,49,49,53.2385,28.2164,4,32.1667
341,560,3,3,84,56,65.1504,24.7572,2,28.7184
425,560,3,3,37,37,23.2064,12.0673,2,14.1187
175,560,3,3,90,90,173.25,86.625,3,103.0837
924,560,3,3,38,38,56.43,24.2649,3,28.1473
1380,560,3,3,94,83,126.1932,53.0011,2,60.4213
1157,560,3,3,53,53,78.3552,41.5283,2,46.927
681,560,3,3,35,35,34.615,13.4999,2,15.9299
137,560,3,3,39,39,66.378,25.8874,4,30.2883
208,560,3,3,57,57,76.0266,33.4517,3,38.4695
824,560,3,3,30,30,36.081,12.6284,3,14.7752
121,560,3,3,17,17,22.2904,11.3681,1,13.0733
258,560,3,3,49,49,40.4544,12.9454,3,15.1461
92,552,3,3,75,75,19.2975,5.9822,1,6.5804
1535,552,3,3,20,20,32.12,13.4904,3,16.0536
325,552,3,3,68,68,32.8576,18.7288,1,21.3508
835,552,3,3,96,96,117.264,68.0131,2,76.8548
865,552,3,3,23,23,27.5931,9.1057,2,10.1073
1508,552,3,3,87,87,141.6708,75.0855,1,83.3449
1551,552,3,3,73,56,25.984,8.5747,4,9.5179
275,552,3,3,95,95,155.325,51.2572,2,59.4584
985,552,3,3,72,72,29.5488,10.3421,4,11.9968
415,552,3,3,66,66,109.4742,48.1686,4,56.8389
1298,552,3,3,21,21,14.9142,7.0097,4,7.8509
209,552,3,3,36,36,27.6012,8.8324,2,10.5106
1185,552,3,3,17,17,13.0815,4.7093,4,5.3215
1375,552,3,3,40,40,49.416,26.6846,3,30.6873
392,552,3,3,23,23,10.166,3.7614,3,4.3256
144,577,3,3,80,80,17.136,8.9107,3,10.4255
548,577,3,3,21,21,34.104,18.4162,1,20.2578
165,577,3,3,40,40,37.8,22.302,1,25.4243
1314,577,3,3,40,40,12.032,6.9786,4,7.7462
570,577,3,3,29,18,20.9952,11.1275,3,13.2417
1241,577,3,3,38,38,39.634,16.6463,3,18.9768
1203,577,3,3,73,73,53.29,18.6515,3,21.2627
487,577,3,3,37,37,47.138,14.6128,3,16.9508
1490,577,3,3,69,69,44.436,23.9954,4,27.1148
454,577,3,3,35,35,11.718,6.0934,4,6.7637
31,577,3,3,76,76,36.518,16.7983,3,19.822
154,577,3,3,68,68,43.9824,23.7505,3,28.5006
77,582,3,3,10,5,6.02,1.9264,3,2.3117
361,582,3,3,92,92,53.0196,29.1608,4,34.993
1070,582,3,3,35,35,40.5405,23.1081,3,27.4986
914,582,3,3,80,80,82.656,33.889,3,37.2779
238,582,3,3,82,82,88.847,29.3195,1,33.131
294,582,3,3,97,97,66.5808,24.6349,3,28.0838
299,580,3,3,48,48,40.32,22.9824,3,25.7403
888,580,3,3,31,31,15.2768,5.958,3,7.09
265,580,3,3,56,56,95.0152,55.1088,2,61.1708
988,580,3,3,90,90,136.458,55.9478,2,64.34
1525,580,3,3,27,5,7.6635,2.299,3,2.5979
328,580,3,3,45,45,28.917,10.9885,2,13.0763
1531,580,3,3,59,59,14.7441,6.4874,2,7.3308
1454,580,3,3,59,59,84.0042,29.4015,2,34.9878
1271,580,3,3,48,48,68.88,20.664,1,23.3503
261,580,3,3,17,11,15.2438,5.7926,2,6.7194
172,580,3,3,60,60,111.552,66.9312,2,79.6481
855,580,3,3,23,23,31.5951,18.3252,2,20.341
316,587,3,3,80,80,58.688,27.5834,3,31.4451
1199,587,3,3,62,25,32.64,17.2992,2,20.4131
110,587,3,3,70,31,43.71,21.4179,2,25.0589
672,587,3,3,17,17,34.068,12.2645,3,14.2268
1276,587,3,3,86,86,68.8688,26.8588,2,30.3504
293,587,3,3,83,83,59.76,28.6848,3,31.8401
123,587,3,3,64,64,76.1856,45.7114,3,52.111
1365,587,3,3,87,87,17.9829,8.0923,2,9.5489
755,587,3,3,21,21,27.5352,15.9704,2,18.8451
680,596,3,3,37,37,16.317,7.8322,4,9.242
97,596,3,3,85,18,3.5046,1.6822,2,2.0018
700,596,3,3,76,76,69.2512,31.8556,1,35.3597
863,596,3,3,25,25,23.095,9.007,2,10.6283
1106,596,3,3,80,80,62.016,23.5661,2,27.3367
790,596,3,3,31,31,10.9802,3.4039,1,3.8464
180,596,3,3,23,23,7.6176,2.9709,2,3.4165
451,596,3,3,65,65,38.181,15.6542,3,18.0023
467,596,3,3,60,60,75.438,37.719,2,44.1312
417,596,3,3,38,38,60.9824,32.3207,3,37.492
741,604,3,3,45,45,17.4105,6.9642,2,8.2874
691,604,3,3,89,89,129.3615,58.2127,2,65.7804
841,604,3,3,64,64,52.096,19.2755,2,21.5886
391,604,3,3,77,77,51.4437,16.462,1,19.2605
595,604,3,3,22,22,13.7456,5.9106,3,6.679
811,604,3,3,70,70,108.108,62.7026,1,69.5999
1307,604,3,3,98,98,60.7992,35.8715,3,43.0458
551,604,3,3,26,26,45.903,15.607,2,18.4163
528,604,3,3,89,89,30.7584,16.6095,2,19.4331
1011,604,3,3,76,76,108.414,44.4497,3,51.1172
1228,613,3,3,46,46,48.3552,27.0789,2,31.1407
419,613,3,3,86,86,107.457,62.3251,3,74.1669
1289,613,3,3,78,4,2.7588,1.1311,2,1.3008
652,613,3,3,48,48,48.096,20.2003,3,23.0283
175,613,3,3,65,65,95.095,44.6947,3,53.1867
46,613,3,3,39,39,55.0056,33.0034,3,36.9638
1262,613,3,3,25,6,2.4624,1.4282,4,1.6424
319,613,3,3,80,80,43.52,15.6672,1,17.2339
29,613,3,3,57,57,41.5986,12.8956,3,14.3141
1312,613,3,3,51,5,3.5955,2.1213,2,2.3759
169,613,3,3,98,98,108.6624,59.7643,2,68.1313
479,613,3,3,11,11,8.2775,4.1387,1,4.6353
1522,613,3,3,44,44,23.5752,14.1451,3,16.1254
1512,613,3,3,90,90,27.702,9.9727,3,11.4686
1129,613,3,3,92,92,87.1884,31.3878,4,37.0376
680,633,3,3,98,98,66.2676,31.8084,2,36.8977
1283,633,3,3,53,53,13.8171,7.4612,2,8.5804
1446,633,3,3,55,55,31.878,17.2141,2,20.1405
130,633,3,3,46,46,35.903,17.9515,1,21.1828
1373,633,3,3,18,18,31.104,9.9533,1,11.3468
763,633,3,3,92,92,105.57,59.1192,3,67.9871
1033,633,3,3,98,98,112.308,37.0616,4,41.8796
1050,633,3,3,68,68,28.7232,11.202,1,13.1063
1000,633,3,3,68,68,102.4352,61.4611,2,70.0657
1150,633,3,3,57,57,100.0065,55.0036,4,64.9042
286,633,3,3,92,92,74.4648,26.8073,3,31.3645
490,633,3,3,74,61,52.338,18.8417,4,22.2332
707,633,3,3,41,41,39.8684,13.5553,4,16.1308
60,625,3,3,86,73,99.0318,30.6999,3,36.8399
370,625,3,3,48,15,5.658,2.6593,2,3.1646
1413,625,3,3,93,93,144.5964,86.7578,2,100.639
1402,625,3,3,28,28,26.8324,13.1479,1,15.7775
1019,625,3,3,78,78,113.7708,43.2329,2,49.2855
