time_id,customer_id,store_sales,store_cost,unit_sales,fact_count
431,2630,17.89,7.3375,8,5
431,7456,10.35,4.1084,4,4
436,7586,9.7,3.9508,5,3
436,8523,9.34,3.3836,3,2
436,2741,13.69,5.1309,7,4
436,8732,10.62,4.09,6,3
436,3211,18.15,8.1706,8,5
436,7462,12.57,4.9858,7,4
479,3182,9.7,4.4567,4,3
479,1934,18.01,7.1328,9,7
479,1057,20.09,8.6664,9,6
479,5650,7.41,2.8723,3,3
479,4563,9.99,4.2317,5,3
479,3645,3.9,1.7424,2,2
464,1264,16.41,6.3938,9,6
464,5720,15.45,6.3931,9,7
464,6814,21.91,8.9692,9,5
464,9517,7.6,3.1152,5,3
464,5650,17.83,7.3317,9,7
480,1695,21.35,8.7493,10,6
480,206,5.08,2.13,3,2
480,7798,7.79,3.2129,4,2
480,9305,11.45,5.1765,5,3
480,10188,13.06,5.6982,6,3
480,8377,6.8,2.3972,3,2
480,5164,17.37,7.3177,9,6
484,1810,7.46,3.0682,5,3
484,1503,8.51,3.7389,5,3
484,7032,3.6,1.08,1,1
484,338,18.26,7.599,8,6
484,7456,18.54,6.7652,8,6
484,1734,1.59,0.5724,1,1
484,10103,9.11,3.5529,3,2
462,5328,9.51,3.5231,6,4
462,6074,11.21,4.5975,9,6
462,7192,5.87,2.4415,5,3
462,4076,3.93,1.7364,2,2
462,1418,19.47,8.5294,9,6
462,9794,6.52,2.4452,3,2
462,4863,44,16.8313,17,6
514,9794,25.52,10.0394,14,7
514,1810,16.05,6.5846,9,7
514,10010,1.98,0.7326,1,1
514,7192,31.55,12.102,10,5
514,5467,9.18,3.6001,5,4
503,3182,8.07,3.414,4,4
503,7809,2.7,0.972,1,1
503,5689,20.32,8.6084,8,4
503,2872,15.92,5.9134,9,6
503,8908,7.14,3.0699,5,4
516,3038,9.35,4.0211,4,3
516,7901,14.01,5.5704,6,6
516,1796,11.49,4.713,5,3
516,6309,16.93,5.6246,8,5
516,5850,19.54,8.3544,11,7
497,7008,13.77,5.107,7,5
497,4487,12.91,5.0787,6,4
497,4209,2.76,1.31,3,2
497,10255,19.36,8.0214,10,6
497,9933,18.68,7.2044,8,6
504,5237,14.98,6.3624,8,6
504,8277,25.38,9.1768,13,7
504,5121,7.96,3.1302,3,2
504,6243,3.82,1.536,4,2
504,5549,27.26,12.0142,13,7
527,4487,11.03,4.6909,7,4
527,4209,5.75,2.253,3,2
527,10255,17.54,7.714,10,6
527,9933,13.23,5.6533,8,6
545,10093,10.17,4.4187,5,3
545,4800,7.03,2.751,5,3
545,6695,24.32,9.9292,10,5
545,9618,7.86,2.8296,2,1
529,7843,7.36,3.0106,4,2
529,9651,9.34,3.6044,5,3
529,10261,16.73,6.6367,7,5
529,2320,10.94,3.8962,4,3
539,7809,15.4,6.5687,9,7
539,4117,3.34,1.419,2,2
539,7336,13.77,4.9316,5,3
539,9617,7.45,3.3691,4,3
539,7329,30.54,12.6699,12,6
546,6602,14.26,5.7919,9,6
546,1734,17.07,7.709,8,6
546,1771,13.53,6.1596,5,4
546,10063,16.35,6.8207,8,6
546,9351,17.11,7.8831,8,5
561,8489,14.74,5.7136,5,4
561,10093,4.7,1.692,2,1
561,3645,15.55,6.1575,6,5
561,5720,15.35,6.4905,6,5
561,3493,8.92,3.662,6,3
562,8185,26.48,10.1727,12,7
562,5188,25.48,9.8006,11,6
562,2759,8.02,3.2908,4,4
562,10010,3.19,1.1803,1,1
562,7032,16.89,6.8394,6,5
564,3038,6.54,2.4902,5,3
564,4730,18.13,7.0647,7,5
564,2340,5.76,2.2744,3,2
564,5649,28.73,12.1304,12,5
564,1293,3.61,1.5227,3,2
564,5713,3.38,1.352,2,1
576,5337,10.93,4.5525,7,4
576,9078,7.28,3.2192,4,2
576,9199,25.82,11.029,10,6
576,7543,10.55,4.6259,5,4
576,6243,5.43,1.8905,3,2
576,206,13.63,5.6594,6,4
551,9933,15.01,5.2878,6,5
551,9054,4.83,1.9776,2,2
551,10103,9.39,3.3406,5,3
551,326,8.07,3.1051,4,3
551,5470,2.44,0.732,2,1
551,544,29.25,12.0837,12,6
551,9517,7.94,3.1808,4,4
592,8878,13.81,5.9543,6,4
592,8732,14.63,6.1019,5,4
592,10103,12.68,4.7054,6,3
592,9646,14.89,6.0504,7,4
588,9664,9.85,4.0586,5,3
588,9136,4.76,1.5412,3,2
588,2805,11.55,3.9837,5,3
588,2683,15.73,6.1901,8,5
599,5862,26.42,10.5479,11,7
599,6309,12.31,4.7492,5,3
599,8277,14.26,5.1924,6,3
599,7450,18.39,6.7677,5,2
597,6309,8.78,3.2106,8,4
597,1562,15.29,5.6606,8,4
597,6993,13.64,5.2395,8,5
597,8177,9.71,4.2903,4,3
581,5015,25.44,9.6734,10,6
581,1493,9.99,3.6437,6,4
581,7919,23.88,9.3226,10,6
581,4645,20.53,9.018,11,6
581,6953,13.47,5.4703,6,5
618,6993,18.5,6.4118,8,6
618,1293,5.47,2.3407,4,4
618,6403,21.07,7.482,11,7
618,7438,15.13,5.6356,9,5
619,7586,4.2,1.9084,3,2
619,1057,21.31,9.3576,8,5
619,4394,14.65,6.0568,7,5
619,4487,34.91,13.8437,12,7
619,1652,21.86,9.6492,8,5
631,4772,17.48,6.4488,10,6
631,9199,17.16,7.6782,9,5
631,5650,7.85,2.9938,7,4
631,3182,20.78,7.6556,7,4
631,4210,29.51,12.3312,12,5
632,6074,25.92,11.1995,10,7
632,1333,15.52,6.3496,14,5
632,7543,18.57,6.7715,9,6
632,7032,23.31,9.7331,9,6
632,2180,24.53,10.5722,9,4
637,7438,6.54,2.8122,3,2
637,7525,24.16,11.1869,12,6
637,2741,10.08,4.1408,4,2
637,3815,3.09,1.4471,3,2
637,7032,8.62,4.118,5,3
669,9664,25.05,10.2754,12,7
669,8878,3.45,1.4295,3,2
669,3182,16.41,7.2008,9,6
669,10052,17.22,6.867,6,3
669,3217,5.68,2.7264,2,1
646,7438,22.5,8.34,9,6
646,6149,5.95,2.2269,2,2
646,5470,10.65,3.702,4,3
646,7192,28.38,12.3636,11,6
646,277,16.46,5.485,6,3
649,6672,13.86,5.0948,8,5
649,599,16.14,6.467,9,6
649,4076,3.57,1.3821,3,2
649,4939,19.22,7.6662,8,5
649,2180,20.71,8.316,8,4
649,372,19.17,7.4562,8,6
647,4988,15.42,6.4076,6,4
647,7843,23.01,8.4702,11,4
647,4018,8.71,3.4384,7,4
647,4411,5.28,2.083,2,2
647,2854,14.59,5.1295,5,3
647,4570,30.88,12.5913,12,5
647,10198,4.2,1.5612,3,2
653,8178,8.58,3.8146,4,2
653,230,19.77,7.594,10,7
653,8936,23.51,10.5581,9,6
653,2630,14.6,6.0998,5,3
653,1934,25.83,8.8347,11,7
653,6149,6.88,2.9308,5,3
653,10052,18.08,7.4342,9,5
688,9296,9.13,3.4978,4,3
688,4209,7.92,3.8808,2,1
688,9684,25.88,9.98,13,5
688,3866,23.95,10.1045,10,6
688,4117,13.37,5.5371,4,3
688,1652,2.56,0.9472,1,1
688,4411,25.4,9.405,10,6
688,3883,23.39,9.7324,9,6
677,2383,17.18,6.944,9,6
677,348,18.32,7.468,8,4
677,6974,10.4,4.5758,5,4
677,5713,19.05,7.5523,9,6
677,9646,2.32,1.1368,1,1
677,6595,11.27,3.8673,4,3
677,8079,15.55,6.8701,9,6
677,5720,19.96,7.503,8,6
687,9794,2.56,0.9216,2,1
687,5310,33.63,13.3875,13,7
687,4217,2.34,1.0062,1,1
687,1855,17.76,6.4133,9,6
687,3060,27.85,12.3072,11,5
687,6602,27.54,10.587,13,6
687,9351,12.31,5.6097,11,7
687,10103,13.39,5.0478,7,6
679,2965,16.11,6.0875,8,5
679,6953,13.65,5.8065,8,5
679,4117,10.66,4.2237,4,3
679,3117,10.79,4.8917,4,3
679,2759,12.39,5.7415,5,3
679,8185,17.81,6.9039,9,6
679,736,11.28,3.9278,5,3
679,3788,10.05,4.5403,5,3
681,6479,12.74,5.0257,10,7
681,9517,9.13,3.2717,4,3
681,277,10.64,4.0594,8,6
681,5121,5.42,2.3859,4,2
681,1076,22.89,9.7612,9,4
681,10179,8.51,3.8103,3,2
681,5943,20.15,8.4503,7,4
681,5467,24.09,8.3038,9,5
717,8185,11.67,4.1612,6,6
717,2350,22.32,8.9301,10,5
717,4787,8.83,3.7997,7,5
717,2180,14.75,5.1703,9,4
717,4964,8.16,3.5726,8,5
717,2965,5.36,2.1992,2,2
717,3182,11.11,4.2504,4,3
725,3815,3.69,1.2612,2,2
725,5356,11.83,5.2043,5,3
725,8908,2.2,0.814,1,1
725,5237,14.91,5.8281,6,6
725,7032,18.26,7.5608,8,5
725,4076,21.35,7.9293,8,6
725,4487,12.63,4.6908,5,3
714,230,31.9,11.938,18,11
714,5470,11.14,4.1947,5,4
714,326,3.92,1.257,3,2
714,2872,28.22,11.1158,14,6
714,5497,3.87,1.7394,3,2
714,7192,27.84,11.9689,14,7
724,4027,12.61,4.9236,7,5
724,7480,12.08,5.372,6,3
724,7525,16.7,6.3618,8,3
724,2320,2.24,0.9484,3,2
724,1734,4.84,1.6698,3,2
724,3883,10.88,4.451,6,3
724,4412,22.01,9.7534,12,7
716,6777,5.12,2.2272,4,2
716,1771,19.13,7.5229,7,6
716,4035,7.56,2.9296,5,3
716,4570,37.22,15.4212,14,7
716,8572,17.94,6.4198,8,5
716,5862,16.58,6.3511,9,6
391,4460,29.33,11.5546,10,4
391,3816,22.71,9.1136,17,5
391,3441,23.32,9.0452,18,4
391,9524,17.82,6.5284,12,3
391,10240,29.04,11.8124,12,4
391,3593,35.39,14.3774,16,6
391,7849,63.89,26.0862,25,7
391,8374,42.23,17.1643,19,7
391,4903,38.95,17.4693,17,6
391,2204,28.47,12.1623,14,5
391,2756,19.87,8.1528,14,4
391,4606,12.06,4.835,6,3
391,5358,42.8,16.7976,19,6
391,8653,4.74,2.0484,6,2
391,5944,14.89,6.0919,7,2
391,1281,23.31,8.9388,14,4
391,4257,5.83,2.1108,5,2
391,76,23.5,9.3887,12,4
391,7413,20.41,8.1854,11,4
391,7743,21.03,8.2629,12,4
391,3693,35.35,13.5474,14,5
391,4066,19.62,7.7859,11,3
391,2507,3.76,1.128,2,1
391,3242,20.7,8.2767,11,4
372,1634,10.92,4.708,6,2
372,7153,3.18,0.954,2,1
372,3476,43.85,16.982,17,4
372,5158,20.01,8.0769,12,4
372,8003,29.24,11.2043,19,7
372,2878,44.28,16.6842,23,6
372,753,24.44,9.9338,17,6
372,4234,100.65,41.1554,40,11
372,1005,32.16,13.6737,15,5
372,1312,17.01,7.656,8,3
372,6832,46.68,20.3883,19,6
372,2690,22.67,9.4312,12,4
372,1622,22.91,8.7614,14,5
372,7486,19.87,8.737,8,3
372,2924,40.52,16.7411,16,4
372,8374,34.95,14.0262,16,5
372,5991,24.49,11.2026,10,3
372,3711,20.82,9.6256,13,5
372,5376,10.04,4.3022,10,3
372,4778,25.31,10.8029,14,4
372,1551,22.72,10.0392,7,2
372,8731,18.91,8.0517,11,4
372,1282,27.34,11.1148,11,3
372,2204,31.75,11.5681,11,3
372,7001,40.05,17.6011,21,6
372,8960,39.35,14.4457,17,5
372,7743,35.55,12.2064,18,6
387,3593,28.78,11.3976,13,4
387,4998,2.13,0.9798,3,1
387,6841,18.89,8.6037,7,3
387,8202,9.6,4.198,6,2
387,2756,17.35,7.0825,7,2
387,3941,26.74,10.2356,9,3
387,9102,29.09,11.769,14,5
387,4711,26.38,11.6452,13,5
387,6559,65.62,23.8132,25,7
387,924,23.05,8.9451,18,5
387,3124,40.66,16.384,20,6
387,7810,13.11,4.833,7,2
387,4824,18.66,7.566,7,2
387,181,30.28,12.0462,10,3
387,754,25.46,10.6614,14,4
387,647,52.15,22.9933,22,7
387,8068,16.23,6.5955,8,3
387,5686,13.41,4.5398,7,3
387,760,37.71,16.0113,19,7
387,3533,38.02,14.767,21,7
387,997,31.28,13.1726,11,4
387,1430,14.36,5.9564,7,3
387,878,48.52,21.0027,28,9
387,9642,53.13,20.5493,23,6
387,1533,27.71,11.3274,16,5
387,9524,19.69,6.3247,9,2
379,5376,35.04,15.7293,19,6
379,99,20.75,8.0536,15,4
379,571,7.41,3.252,5,2
379,8068,35.17,15.0123,13,3
379,4998,44.65,19.1979,21,8
379,6367,28.48,11.8527,14,5
379,1785,12.58,4.818,6,2
379,10240,56.19,22.6535,19,6
379,878,24.88,9.3574,13,4
379,754,15.5,5.4804,6,2
379,753,49.15,19.5391,24,7
379,7622,21.64,8.33,13,4
379,1758,30.42,13.9558,14,5
379,5813,9.96,4.8804,3,1
379,2355,29.21,12.3508,11,3
379,3711,20.77,8.1163,11,4
379,2298,27.92,10.8122,14,5
379,997,20,7.4672,8,2
379,1442,16.02,5.4711,6,2
379,3065,31.44,12.2803,17,6
379,5768,46.03,18.851,16,6
379,3533,9.57,3.1161,6,2
379,7743,26.6,10.5838,8,3
379,1970,38,14.1096,15,4
379,4417,32.94,13.9768,20,6
375,878,28.58,10.661,16,6
375,4618,43.22,17.7587,19,6
375,7810,14.6,5.49,8,2
375,6832,10.08,4.2432,6,2
375,1451,31.95,13.8195,11,3
375,1634,22.32,8.4345,13,4
375,1622,2.76,0.828,3,1
375,3711,21.07,8.3713,16,5
375,2061,12.69,4.5651,8,3
375,9866,3.99,1.2768,3,1
375,9951,20.85,8.2374,9,3
375,1070,9.96,3.9798,5,2
375,1005,4.6,1.874,4,2
375,2368,18.38,7.1808,10,3
375,7704,30.16,11.8712,14,6
375,9781,14.7,6.6492,6,2
375,7354,46.27,16.0217,21,7
375,1758,56.71,23.1921,31,11
375,4257,4.88,2.1472,2,1
375,4417,16.24,5.4962,8,3
375,3693,23.18,10.1842,13,4
375,9123,8.86,3.8096,6,2
375,5991,24.18,8.7132,10,3
375,4105,39.85,15.2177,20,6
375,7384,41.82,17.469,18,6
375,2431,11.96,4.5976,5,2
375,6367,47.03,17.9511,19,7
414,8731,39.24,14.7516,17,5
414,9951,49.84,19.9625,23,6
414,571,33.86,13.7279,11,4
414,5768,19.7,7.0204,10,3
414,4417,38.89,16.1055,15,5
414,4065,26.43,11.5908,13,5
414,5134,7.58,2.8722,7,2
414,1005,37.12,14.5567,18,6
414,3816,4.71,1.9719,5,2
414,4903,12.46,4.1544,5,2
414,2204,42.65,14.1155,18,5
414,4096,30.66,9.7743,13,4
414,6367,29.19,10.5918,12,4
414,8404,26.07,11.8102,11,4
414,5944,17.58,7.9872,7,3
414,2924,29.93,12.5506,13,3
414,1281,32.8,11.6461,17,6
414,1451,18.28,7.1626,9,3
414,4165,19.17,6.5896,13,4
414,647,19.02,7.4906,12,4
414,7486,36.96,16.1168,12,3
414,9851,31.76,12.545,16,5
414,1785,49.13,20.3497,24,7
414,1622,20.07,7.3449,10,4
414,7622,23.83,9.3974,14,5
414,753,32.53,14.7585,13,4
398,4998,39.74,14.9217,19,6
398,7486,52.14,20.8766,21,6
398,7822,30.6,12.2904,15,5
398,7810,33.64,12.1672,15,4
398,2690,3.87,1.2384,3,1
398,5216,23.37,10.7484,15,5
398,5991,7.68,3.456,3,1
398,571,12.9,5.715,6,2
398,1124,28.44,12.0846,16,5
398,5973,57.62,23.3782,25,8
398,7704,45.22,19.0941,20,6
398,9881,23.08,8.3041,13,4
398,2298,53.37,21.2658,27,7
398,1070,25.32,10.8672,16,5
398,9851,38.24,16.0244,18,6
398,10240,27.78,10.7838,11,4
398,8731,33.87,13.2944,14,5
398,8477,44.18,17.57,19,5
398,8202,42.65,17.6708,20,6
398,8907,23.8,9.3716,10,4
398,4417,16.67,5.6692,9,3
398,2756,14.26,5.115,12,4
398,924,15.38,7.0016,8,2
398,4460,15.69,6.216,5,2
398,5898,19.5,7.5075,8,3
398,10033,17.94,7.7355,9,3
398,1676,34.99,15.5674,13,4
398,1634,34.11,14.2004,16,5
398,9781,37.12,16.0177,18,6
411,4096,12.86,4.9554,6,2
411,5831,16.4,5.7064,10,3
411,10240,51.49,19.296,19,6
411,3889,38.85,14.9756,17,6
411,7153,7.17,3.0624,6,2
411,7413,64.33,24.0748,25,9
411,2368,37.16,16.1272,16,5
411,9524,25.78,9.702,11,3
411,5163,36.17,14.7662,17,6
411,5216,11.88,4.9176,5,2
411,2556,66.78,25.3692,24,7
411,2850,58.77,23.4534,33,11
411,4234,7.59,3.4155,3,1
411,5537,17.53,6.7878,8,3
411,4903,37.83,16.0614,14,4
411,647,24.33,10.2297,7,2
411,5376,49.44,20.1628,20,6
411,8742,24.75,8.8008,22,7
411,4417,40.04,18.224,19,6
411,5158,25.11,9.7056,12,4
411,6132,27.75,11.6094,13,4
411,1281,18.42,7.2652,6,2
411,1442,15.28,6.7066,10,3
411,2756,5.4,2.322,3,1
411,878,17.51,7.5718,12,4
411,9324,5.35,1.9206,5,2
411,9029,31.79,12.9956,16,5
411,7622,26.89,11.8017,13,4
411,1758,28.37,12.5974,11,4
411,4460,57.29,20.4788,23,7
411,9642,48.25,20.2423,22,5
411,6559,15.13,6.052,7,2
411,924,37.49,15.4561,22,5
411,9851,25.49,9.1116,11,3
412,9324,21.15,7.2992,12,5
412,8374,26.9,12.4062,11,4
412,997,24.3,9.288,12,4
412,7743,19.83,7.7247,12,4
412,2678,30.47,10.6483,13,5
412,4078,62.89,24.1185,26,9
412,3816,11.82,3.801,5,2
412,2298,14.14,6.0457,8,3
412,4998,40.76,16.2941,17,7
412,8653,13.44,5.8233,8,3
412,9851,39.07,15.1001,17,6
412,76,31.65,12.3525,12,4
412,1533,30.41,11.5096,18,6
412,2905,34,13.2781,14,5
412,10033,46.55,16.8946,17,6
412,2690,50.48,18.6971,17,6
412,7056,9.16,3.7942,5,2
412,4065,48.1,19.3105,19,7
412,4257,25.98,10.2656,14,4
412,4096,32.35,13.0462,14,5
412,9557,20.74,9.3068,6,2
412,1070,7.16,3.3774,5,2
412,7822,28.44,12.8058,19,6
412,2355,38.35,16.427,20,7
412,4606,13.58,4.2098,7,2
412,2756,8.57,3.0477,5,2
412,7001,51.87,20.0666,27,7
412,2896,11.7,4.8252,6,2
412,4234,27.59,10.8804,12,3
412,1633,62.57,24.9114,23,6
412,3448,3.78,1.4364,3,1
412,6291,36.01,13.792,12,4
412,7573,31.29,13.1265,17,6
412,1785,20.19,8.0982,9,3
412,7704,37.05,13.7168,16,5
418,1551,25.67,10.0023,14,5
418,4618,15.64,6.3786,9,3
418,4105,17.27,7.7202,13,5
418,9557,58.66,22.5136,20,6
418,181,27.02,11.083,14,4
418,760,8.76,4.2048,4,1
418,6496,37.23,15.5079,19,6
418,355,7.6,2.66,4,1
418,7366,49.62,20.5218,20,7
418,8947,4.38,1.5768,2,1
418,1970,49.24,19.9328,20,5
418,3878,32.92,11.7864,19,7
418,8731,5.34,2.4564,3,1
418,8571,2.04,0.612,3,1
418,1282,36,15.1549,17,6
418,6291,31.83,12.9717,12,4
418,5768,38.53,14.8231,24,8
418,4417,29.82,12.3732,11,5
418,1281,45.7,18.905,20,7
418,2437,7.62,3.048,3,1
418,4541,64.45,25.0942,30,10
418,5537,10.57,3.8249,5,2
418,1430,53.8,19.6914,19,6
418,4606,33.11,11.322,22,6
418,8647,3.72,1.1904,4,1
418,647,8.64,3.9744,4,1
418,7573,39.38,13.3755,16,6
418,1785,42.21,17.5459,19,7
418,8902,14.89,6.9528,7,3
418,9851,35.65,13.8884,18,6
418,3676,63.34,26.8285,26,7
418,2924,13.68,4.8936,8,2
418,8404,6.36,3.0528,3,1
442,2896,33.9,14.431,15,5
442,4417,27.38,12.6502,13,5
442,9557,40.93,15.9008,20,6
442,1451,47.5,17.8446,18,5
442,9524,59.1,22.436,24,7
442,8653,14.15,5.4949,7,2
442,4096,21.87,8.1242,14,5
442,3448,13.41,5.4735,11,3
442,2723,15.18,6.4482,6,2
442,8374,39,15.4704,15,6
442,1610,28.74,10.5279,16,6
442,4165,13.89,5.5326,6,2
442,2905,30.89,12.0514,15,6
442,5768,39.94,15.2702,17,6
442,9123,14.37,5.631,6,2
442,6832,39.25,15.1669,23,8
442,5134,39.98,17.1635,20,5
442,4998,34.06,12.3594,12,5
442,1312,10.73,5.0162,5,2
442,8902,94.82,35.373,37,12
442,8003,27.47,12.7949,16,5
442,9866,40.74,15.6585,16,5
442,5686,15.48,5.454,6,2
442,4065,13.84,4.5488,8,2
442,10111,19.79,7.3055,11,4
442,6107,46.59,18.0765,19,6
442,9951,30.6,11.7324,24,6
442,3941,15.43,6.3639,7,2
445,5158,30.34,12.266,13,4
445,4527,42.07,17.8558,22,7
445,7056,43.47,18.2493,16,5
445,2690,24.6,9.9387,9,3
445,7384,31.4,13.7321,18,6
445,9524,47.48,17.5992,19,5
445,8477,51.47,17.5055,20,6
445,1610,34.03,13.7783,16,6
445,5744,24.68,8.8544,9,3
445,3533,3.6,1.08,3,1
445,1281,12.21,5.1927,12,4
445,7849,11.85,5.136,5,2
445,3065,12.83,4.8293,5,2
445,5216,16.37,5.5665,5,2
445,2507,18.14,6.999,15,5
445,3124,39.46,13.9342,15,4
445,1282,24.94,9.5896,19,5
445,3878,55.03,20.5917,17,5
445,4105,18.63,6.7536,9,3
445,3418,41.31,15.9535,20,6
445,5991,43.53,17.9428,26,9
445,1341,54.91,21.1801,17,5
445,8202,24.53,11.3245,9,3
445,4460,10.35,4.6575,3,1
445,5597,10.77,4.1328,6,2
445,1979,57.1,22.9413,26,7
445,7220,23.78,9.241,11,4
445,5944,27,11.3808,11,4
445,9642,24.31,9.9825,15,4
445,4417,9.82,3.9096,6,2
437,8653,13.86,6.3854,6,2
437,3242,13.57,4.9259,8,3
437,3711,39.12,17.1804,13,4
437,9324,8.58,3.4512,7,2
437,6098,21.28,8.0924,10,3
437,760,37.71,14.3882,19,6
437,4417,49.29,18.9523,20,6
437,7622,34.73,14.8943,17,6
437,2437,5.38,2.258,5,2
437,6559,43.39,17.1371,21,7
437,7822,51.31,21.7555,19,6
437,118,5.31,2.2302,3,1
437,5376,51.12,20.3538,23,7
437,1005,36.64,13.8736,19,7
437,355,5.55,2.6085,3,1
437,9184,43.31,18.3698,23,7
437,7384,29.84,12.3728,12,3
437,8068,31.9,13.4492,15,4
437,4105,8.08,2.9618,4,2
437,8404,6.93,3.3264,3,1
437,7810,37.87,15.7941,25,6
437,1430,39,16.6231,17,6
437,5358,9.02,3.9024,5,2
437,2690,25.42,9.4497,13,5
437,3476,48.99,19.2015,17,4
437,5063,46.71,18.8589,22,8
437,1633,35.57,12.6204,15,4
437,3693,8.66,3.3392,4,2
437,4618,7.48,2.6928,4,1
437,1634,18.88,6.7088,11,4
437,924,29.26,10.7154,15,4
437,3418,31.68,12.6138,12,4
437,3593,29.37,12.2004,12,4
437,4096,18.87,7.5572,14,5
440,7486,41.22,16.6443,22,7
440,4618,38.2,15.2676,16,5
440,4460,23.1,9.7448,16,7
440,3124,9.28,3.0748,5,2
440,76,24.49,9.2822,17,6
440,2756,38.2,13.8538,17,6
440,5597,29.33,11.2748,10,4
440,4075,45.12,17.8377,20,7
440,3441,13.5,4.8546,4,2
440,9781,33.27,13.5137,16,6
440,5358,22.21,9.0737,12,4
440,7849,67.77,27.2189,35,12
440,4527,34.66,15.3742,16,5
440,4436,23.92,9.7882,14,5
440,4257,41.53,17.0941,20,6
440,1676,55.16,21.6974,22,7
440,5158,22.64,8.9959,10,4
440,760,2.64,1.0296,2,1
440,5216,38.48,15.2159,16,5
440,3627,31.77,11.3995,18,6
440,1451,43.51,16.637,21,7
440,7366,13.26,5.3922,6,2
440,4066,46.05,18.9231,25,7
440,5686,20.82,8.6688,16,5
440,5973,40.11,16.8758,21,6
440,7001,64.92,25.0846,33,10
440,2723,35.03,15.1312,11,4
440,5376,47.8,19.984,18,6
440,2896,19.93,7.8002,13,4
444,4105,40.46,17.2502,14,5
444,647,71.14,30.5756,28,10
444,3448,50.83,20.1263,22,6
444,6132,15.81,6.4146,7,2
444,5991,33.21,14.0071,18,5
444,924,25.25,10.7705,14,3
444,7220,37.7,15.9712,17,6
444,8966,31.62,11.5323,12,4
444,99,49.57,20.3635,21,6
444,1070,19.38,7.9112,12,4
444,2723,14.49,6.3081,8,3
444,5537,19.54,7.9378,11,4
444,8742,7.38,2.8674,4,2
444,1533,11.38,5.2192,5,2
444,8647,19.19,7.5415,13,5
444,760,46.49,18.3473,16,6
444,7056,14.97,5.6681,10,4
444,1979,3.84,1.1904,3,1
444,4618,31.34,12.9875,14,4
444,4541,27.84,12.5727,18,6
444,9951,18.59,8.5313,13,4
444,3441,22.1,8.9156,18,5
444,3889,44,16.9583,17,5
444,6559,24.6,9.076,18,4
444,6367,34.66,13.1467,18,6
444,76,3.98,1.5264,5,2
444,4234,40.27,16.3367,18,6
444,9184,13.88,5.3972,7,2
444,8947,21.81,8.3949,10,4
444,7153,24,9.3624,9,3
444,5063,37.06,14.7176,15,5
444,7354,30.51,12.849,13,4
462,3627,22.08,7.8976,9,3
462,8731,27.29,10.425,14,5
462,4096,20.51,6.9471,14,5
462,5898,26.91,11.0387,15,5
462,4998,41.45,14.6219,15,4
462,4824,40.35,14.6546,21,6
462,118,42.12,15.1035,14,5
