time_id,city,state_province,country,store_sales,store_cost,unit_sales,fact_count
539,Anacortes,WA,USA,37.99,16.039,16,9
546,Anacortes,WA,USA,31.37,13.675,17,11
546,Sedro Woolley,WA,USA,46.95,20.6893,21,16
561,Sedro Woolley,WA,USA,14.74,5.7136,5,4
561,Bellingham,WA,USA,4.7,1.692,2,1
561,Anacortes,WA,USA,39.82,16.31,18,13
562,Bellingham,WA,USA,72.04,27.993,30,19
562,Sedro Woolley,WA,USA,8.02,3.2908,4,4
564,Bellingham,WA,USA,30.43,11.8293,15,10
564,Sedro Woolley,WA,USA,32.34,13.6531,15,7
564,Anacortes,WA,USA,3.38,1.352,2,1
576,Bellingham,WA,USA,26.91,11.0689,15,10
576,Anacortes,WA,USA,33.1,14.2482,14,8
576,Sedro Woolley,WA,USA,13.63,5.6594,6,4
551,Bellingham,WA,USA,15.01,5.2878,6,5
551,Anacortes,WA,USA,51.54,20.507,23,14
551,Sedro Woolley,WA,USA,10.38,3.9128,6,5
592,Anacortes,WA,USA,26.49,10.6597,12,7
592,Bellingham,WA,USA,14.63,6.1019,5,4
592,Sedro Woolley,WA,USA,14.89,6.0504,7,4
588,Sedro Woolley,WA,USA,9.85,4.0586,5,3
588,Bellingham,WA,USA,16.31,5.5249,8,5
588,Anacortes,WA,USA,15.73,6.1901,8,5
599,Sedro Woolley,WA,USA,26.42,10.5479,11,7
599,Bellingham,WA,USA,44.96,16.7093,16,8
597,Bellingham,WA,USA,8.78,3.2106,8,4
597,Sedro Woolley,WA,USA,25,9.9509,12,7
597,Anacortes,WA,USA,13.64,5.2395,8,5
581,Anacortes,WA,USA,49.32,18.996,20,12
581,Bellingham,WA,USA,9.99,3.6437,6,4
581,Sedro Woolley,WA,USA,34,14.4883,17,11
618,Anacortes,WA,USA,33.63,12.0474,17,11
618,Sedro Woolley,WA,USA,5.47,2.3407,4,4
618,Bellingham,WA,USA,21.07,7.482,11,7
619,Sedro Woolley,WA,USA,4.2,1.9084,3,2
619,Anacortes,WA,USA,56.22,23.2013,20,12
619,Bellingham,WA,USA,36.51,15.706,15,10
631,Sedro Woolley,WA,USA,67.77,26.4356,29,15
631,Anacortes,WA,USA,25.01,10.672,16,9
632,Anacortes,WA,USA,41.44,17.5491,24,12
632,Bellingham,WA,USA,66.41,27.0768,27,16
637,Anacortes,WA,USA,30.7,13.9991,15,8
637,Sedro Woolley,WA,USA,13.17,5.5879,7,4
637,Bellingham,WA,USA,8.62,4.118,5,3
669,Sedro Woolley,WA,USA,41.46,17.4762,21,13
669,Anacortes,WA,USA,3.45,1.4295,3,2
669,Bellingham,WA,USA,22.9,9.5934,8,4
646,Anacortes,WA,USA,22.5,8.34,9,6
646,Sedro Woolley,WA,USA,16.6,5.9289,6,5
646,Bellingham,WA,USA,44.84,17.8486,17,9
649,Bellingham,WA,USA,72.96,28.5332,32,20
649,Sedro Woolley,WA,USA,16.14,6.467,9,6
649,Anacortes,WA,USA,3.57,1.3821,3,2
647,Bellingham,WA,USA,43.71,16.9608,19,10
647,Sedro Woolley,WA,USA,54.18,21.1592,24,12
647,Anacortes,WA,USA,4.2,1.5612,3,2
653,Anacortes,WA,USA,8.58,3.8146,4,2
653,Bellingham,WA,USA,61.36,25.5863,28,18
653,Sedro Woolley,WA,USA,47.31,17.8653,21,13
688,Bellingham,WA,USA,110.31,43.6669,47,27
688,Sedro Woolley,WA,USA,21.29,9.4179,6,4
677,Sedro Woolley,WA,USA,37.82,15.5488,18,11
677,Bellingham,WA,USA,10.4,4.5758,5,4
677,Anacortes,WA,USA,65.83,25.7927,30,21
687,Sedro Woolley,WA,USA,20.32,7.3349,11,7
687,Anacortes,WA,USA,114.72,46.9392,55,31
687,Bellingham,WA,USA,2.34,1.0062,1,1
679,Bellingham,WA,USA,54.76,22.4234,26,17
679,Sedro Woolley,WA,USA,36.7,15.7717,17,11
679,Anacortes,WA,USA,11.28,3.9278,5,3
681,Sedro Woolley,WA,USA,97.51,38.623,42,25
681,Bellingham,WA,USA,16.06,6.4453,12,8
717,Bellingham,WA,USA,62.93,24.2605,34,22
717,Anacortes,WA,USA,8.16,3.5726,8,5
717,Sedro Woolley,WA,USA,11.11,4.2504,4,3
725,Sedro Woolley,WA,USA,20.8,7.9033,9,9
725,Bellingham,WA,USA,30.09,12.7651,13,8
725,Anacortes,WA,USA,33.98,12.6201,13,9
714,Bellingham,WA,USA,59.74,23.9069,32,18
714,Sedro Woolley,WA,USA,11.14,4.1947,5,4
714,Anacortes,WA,USA,36.01,14.1122,20,10
724,Sedro Woolley,WA,USA,41.7,17.2952,25,16
724,Bellingham,WA,USA,22.96,9.823,12,6
724,Anacortes,WA,USA,16.7,6.3618,8,3
716,Anacortes,WA,USA,5.12,2.2272,4,2
716,Sedro Woolley,WA,USA,90.87,35.715,38,24
716,Bellingham,WA,USA,7.56,2.9296,5,3
391,Port Orchard,WA,USA,209.21,82.8799,120,38
391,Bremerton,WA,USA,389.81,157.9841,184,61
372,Bremerton,WA,USA,506.24,207.6408,246,78
372,Port Orchard,WA,USA,303.43,122.433,141,42
387,Port Orchard,WA,USA,396.6,156.8987,193,62
387,Bremerton,WA,USA,331.41,136.5016,151,48
379,Bremerton,WA,USA,395.01,158.0478,172,55
379,Port Orchard,WA,USA,295.31,121.1998,145,47
375,Port Orchard,WA,USA,301.1,120.1731,149,52
375,Bremerton,WA,USA,309.79,119.867,155,51
414,Bremerton,WA,USA,525.06,204.1711,233,73
414,Port Orchard,WA,USA,204.4,82.7736,105,35
398,Port Orchard,WA,USA,372.77,150.9624,179,55
398,Bremerton,WA,USA,480.4,195.1906,225,72
411,Bremerton,WA,USA,597.46,237.7234,251,78
411,Port Orchard,WA,USA,417.21,168.2015,217,68
412,Port Orchard,WA,USA,534.69,207.9312,249,85
412,Bremerton,WA,USA,477.65,189.7943,209,70
418,Bremerton,WA,USA,603.35,244.0203,289,96
418,Port Orchard,WA,USA,317.34,121.847,143,46
442,Port Orchard,WA,USA,456.54,179.8405,231,72
442,Bremerton,WA,USA,412.49,160.4599,176,60
445,Bremerton,WA,USA,468.86,180.6117,234,74
445,Port Orchard,WA,USA,401.15,161.4866,163,51
437,Port Orchard,WA,USA,426.21,174.4683,208,65
437,Bremerton,WA,USA,497.47,196.7762,228,74
440,Bremerton,WA,USA,459.5,182.7945,205,69
440,Port Orchard,WA,USA,508.42,203.9381,267,89
444,Bremerton,WA,USA,428.54,175.3157,192,64
444,Port Orchard,WA,USA,458.35,185.4589,236,74
462,Port Orchard,WA,USA,321.29,122.4923,157,46
462,Bremerton,WA,USA,453.38,177.6124,216,72
477,Bremerton,WA,USA,442.54,175.359,204,68
477,Port Orchard,WA,USA,425.54,173.2056,198,59
482,Bremerton,WA,USA,500.62,206.4671,206,65
482,Port Orchard,WA,USA,388.56,156.1744,190,58
460,Bremerton,WA,USA,422.81,165.8152,202,67
460,Port Orchard,WA,USA,295.31,117.5926,151,47
475,Port Orchard,WA,USA,524.28,208.4972,238,74
475,Bremerton,WA,USA,461.27,185.8157,203,61
490,Port Orchard,WA,USA,364.48,146.9441,145,47
490,Bremerton,WA,USA,245.36,97.5249,134,45
512,Port Orchard,WA,USA,348.27,143.1251,156,49
512,Bremerton,WA,USA,321.35,129.8525,163,49
511,Port Orchard,WA,USA,307.82,124.131,156,54
511,Bremerton,WA,USA,391.34,153.3811,171,51
507,Bremerton,WA,USA,386.18,151.9316,169,55
507,Port Orchard,WA,USA,371.81,149.8576,196,65
489,Port Orchard,WA,USA,417.14,162.9158,171,57
489,Bremerton,WA,USA,546.29,219.7975,231,76
535,Port Orchard,WA,USA,216.41,87.0124,128,42
535,Bremerton,WA,USA,684.07,277.8512,333,106
533,Bremerton,WA,USA,456.33,180.2295,203,61
533,Port Orchard,WA,USA,588.71,233.5017,260,79
539,Port Orchard,WA,USA,729.56,289.6329,322,100
539,Bremerton,WA,USA,324.9,131.6932,155,50
520,Bremerton,WA,USA,397.73,157.2113,182,57
520,Port Orchard,WA,USA,658.62,267.4861,293,94
528,Port Orchard,WA,USA,667.78,265.4935,307,87
528,Bremerton,WA,USA,356.56,143.8636,170,55
563,Bremerton,WA,USA,555.44,225.5949,281,92
563,Port Orchard,WA,USA,313.76,123.6876,158,49
556,Bremerton,WA,USA,353.72,134.0114,162,51
556,Port Orchard,WA,USA,420.88,166.5666,205,64
548,Port Orchard,WA,USA,232.72,93.5398,110,35
548,Bremerton,WA,USA,547.59,220.7488,254,82
576,Port Orchard,WA,USA,407.36,161.6384,199,66
576,Bremerton,WA,USA,390.07,151.778,179,57
575,Port Orchard,WA,USA,458.03,184.7778,208,66
575,Bremerton,WA,USA,416.75,163.1396,209,68
597,Bremerton,WA,USA,338.48,135.2627,159,52
597,Port Orchard,WA,USA,578.98,236.7993,252,75
607,Port Orchard,WA,USA,335.75,133.7276,159,50
607,Bremerton,WA,USA,557.37,231.1264,255,85
590,Bremerton,WA,USA,396.64,154.9546,181,59
590,Port Orchard,WA,USA,561.87,221.9447,254,82
591,Port Orchard,WA,USA,488.99,189.077,224,70
591,Bremerton,WA,USA,542.07,214.6587,236,76
596,Port Orchard,WA,USA,687.66,279.1463,287,95
596,Bremerton,WA,USA,436.23,177.5401,200,66
621,Bremerton,WA,USA,301.98,117.6908,144,51
621,Port Orchard,WA,USA,394.46,160.9719,185,58
632,Port Orchard,WA,USA,331.14,128.9117,155,49
632,Bremerton,WA,USA,348.27,139.6958,159,49
629,Bremerton,WA,USA,447.73,179.4281,217,69
629,Port Orchard,WA,USA,185.74,72.3947,87,31
623,Port Orchard,WA,USA,533.81,215.2216,227,70
623,Bremerton,WA,USA,303.47,122.4066,136,45
611,Port Orchard,WA,USA,727.93,285.0365,333,104
611,Bremerton,WA,USA,219.11,90.4471,105,32
666,Port Orchard,WA,USA,273.83,106.5218,146,49
666,Bremerton,WA,USA,340.27,135.9619,157,52
661,Port Orchard,WA,USA,407.74,160.5409,192,60
661,Bremerton,WA,USA,301.17,120.7516,142,47
646,Port Orchard,WA,USA,350.32,143.5214,159,52
646,Bremerton,WA,USA,229.14,90.651,91,30
655,Bremerton,WA,USA,382.62,150.5115,193,62
655,Port Orchard,WA,USA,354.55,142.7905,160,50
651,Bremerton,WA,USA,448.69,184.2688,206,67
651,Port Orchard,WA,USA,322.48,134.608,166,53
677,Port Orchard,WA,USA,608.07,242.6119,276,93
677,Bremerton,WA,USA,474.41,188.6476,232,75
681,Bremerton,WA,USA,560.13,228.3031,245,81
681,Port Orchard,WA,USA,616.6,240.9384,274,88
698,Port Orchard,WA,USA,640.35,254.7071,285,96
698,Bremerton,WA,USA,451.56,178.8222,200,61
676,Port Orchard,WA,USA,747.52,292.421,324,108
676,Bremerton,WA,USA,524.77,210.8857,220,66
685,Port Orchard,WA,USA,635.98,255.9279,299,95
685,Bremerton,WA,USA,527.71,208.2598,268,89
727,Port Orchard,WA,USA,580.33,228.8364,288,92
727,Bremerton,WA,USA,399.71,155.7937,198,64
709,Bremerton,WA,USA,537.68,219.2879,260,86
709,Port Orchard,WA,USA,411.13,164.4794,174,54
711,Bremerton,WA,USA,436.08,172.8863,189,62
711,Port Orchard,WA,USA,532.71,212.6425,260,86
721,Bremerton,WA,USA,565.38,229.998,275,84
721,Port Orchard,WA,USA,627,249.4475,296,98
728,Bremerton,WA,USA,689.28,271.1188,332,106
728,Port Orchard,WA,USA,603.01,244.0357,243,72
372,West Covina,CA,USA,77.7,31.5512,33,11
372,Beverly Hills,CA,USA,12.98,6.0072,5,2
372,Lakewood,CA,USA,25.31,9.0863,9,3
372,Glendale,CA,USA,47.73,19.5661,26,8
372,Long Beach,CA,USA,45.41,16.6858,25,8
372,Torrance,CA,USA,7.29,2.4747,5,2
372,San Gabriel,CA,USA,86.12,35.6488,30,9
372,Pomona,CA,USA,47.15,17.4264,24,7
372,Altadena,CA,USA,34.84,14.4944,15,5
372,Newport Beach,CA,USA,35.22,14.1405,18,6
372,Downey,CA,USA,23.9,9.8768,16,5
377,Glendale,CA,USA,130.46,54.572,52,16
377,Burbank,CA,USA,12.9,4.797,12,4
377,Beverly Hills,CA,USA,9.26,3.6406,7,2
377,San Gabriel,CA,USA,52.82,21.7003,20,7
377,Newport Beach,CA,USA,3.32,1.0956,2,1
377,Downey,CA,USA,112,45.7433,53,16
377,Los Angeles,CA,USA,3.72,1.302,4,1
377,Pomona,CA,USA,52.93,21.2258,23,7
377,Long Beach,CA,USA,42.84,17.6956,20,5
377,Santa Monica,CA,USA,1.95,0.7995,3,1
383,Arcadia,CA,USA,75.28,30.994,26,8
383,Woodland Hills,CA,USA,11.52,4.7232,3,1
383,Altadena,CA,USA,32.37,12.1284,14,5
383,Long Beach,CA,USA,30.94,11.0495,13,4
383,Torrance,CA,USA,134.35,48.6442,62,20
383,Newport Beach,CA,USA,1.48,0.6512,2,1
383,Beverly Hills,CA,USA,19.43,8.0863,7,2
383,Burbank,CA,USA,38.63,13.9101,23,7
383,San Gabriel,CA,USA,45.66,17.9967,22,7
383,Santa Monica,CA,USA,84.89,32.5439,33,10
383,West Covina,CA,USA,32.34,13.707,20,6
383,Bellflower,CA,USA,54.84,20.9776,25,8
380,Long Beach,CA,USA,36.63,14.9889,14,4
380,Downey,CA,USA,8.54,3.5878,6,3
380,Altadena,CA,USA,43.53,19.3701,21,6
380,Pomona,CA,USA,50.45,18.9524,25,8
380,Newport Beach,CA,USA,71.4,31.1969,35,10
380,Los Angeles,CA,USA,40.56,13.2438,18,4
380,Woodland Hills,CA,USA,54.32,21.2748,27,10
380,Beverly Hills,CA,USA,59.13,21.4287,30,10
380,Torrance,CA,USA,4.11,1.9728,3,1
380,San Gabriel,CA,USA,68.06,28.2347,30,11
380,Arcadia,CA,USA,71.08,24.8696,37,12
380,Lakewood,CA,USA,34.27,14.7332,15,5
367,Pomona,CA,USA,126.78,51.4328,55,16
367,Long Beach,CA,USA,111.71,44.1896,46,13
367,Arcadia,CA,USA,38.79,14.1721,19,5
367,Bellflower,CA,USA,86.6,35.1332,50,17
367,Lakewood,CA,USA,56.26,22.9542,31,9
367,Beverly Hills,CA,USA,6.68,2.762,6,2
367,Downey,CA,USA,38.06,15.0804,16,5
367,West Covina,CA,USA,17.32,7.224,11,4
367,Burbank,CA,USA,64.69,26.7827,37,11
367,Glendale,CA,USA,29.69,12.0001,15,4
367,Los Angeles,CA,USA,63.13,24.0558,29,10
367,Altadena,CA,USA,19.72,7.0972,9,3
414,Newport Beach,CA,USA,99.51,35.7836,40,12
414,Los Angeles,CA,USA,17.32,7.1755,8,3
414,Pomona,CA,USA,32.25,11.607,15,5
414,Woodland Hills,CA,USA,44.83,20.2191,21,6
414,Long Beach,CA,USA,24.44,11.0939,10,3
414,Altadena,CA,USA,25.16,11.1256,11,4
414,Lakewood,CA,USA,34.65,12.7302,21,7
414,Beverly Hills,CA,USA,10.95,4.9695,5,2
414,Burbank,CA,USA,40.41,15.8436,21,7
414,Arcadia,CA,USA,33.74,14.548,17,5
414,West Covina,CA,USA,28.08,11.8653,20,7
414,Downey,CA,USA,2.88,0.9504,4,1
402,San Gabriel,CA,USA,79.37,33.9833,39,12
402,Glendale,CA,USA,99.79,42.1735,37,12
402,Altadena,CA,USA,33.27,13.9485,18,6
402,Santa Monica,CA,USA,52.17,19.4711,29,9
402,West Covina,CA,USA,19.64,7.2796,10,4
402,Downey,CA,USA,112.77,45.5025,47,14
402,Long Beach,CA,USA,4.56,2.052,2,1
402,Pomona,CA,USA,30.46,11.1768,12,5
402,Torrance,CA,USA,23.14,8.8576,8,3
402,Bellflower,CA,USA,25.52,9.9254,10,4
402,Newport Beach,CA,USA,15.49,6.5783,8,3
402,Lakewood,CA,USA,23.29,8.3711,12,4
402,Burbank,CA,USA,31.72,12.5986,21,6
404,Lakewood,CA,USA,39.7,14.6527,24,8
404,San Gabriel,CA,USA,8.16,3.2022,5,2
404,Beverly Hills,CA,USA,23.68,10.1528,18,5
404,Santa Monica,CA,USA,11.84,5.2096,4,1
404,Newport Beach,CA,USA,28.16,11.0368,14,5
404,Torrance,CA,USA,56.04,21.0909,29,10
404,Downey,CA,USA,93.99,36.2195,35,11
404,Los Angeles,CA,USA,49.98,19.6396,25,7
404,Glendale,CA,USA,6.79,2.5602,5,2
404,Altadena,CA,USA,84.56,34.9912,40,11
404,Burbank,CA,USA,54.82,22.3895,26,8
404,Long Beach,CA,USA,56.72,22.2204,28,9
411,Burbank,CA,USA,64.25,23.9341,41,13
411,Los Angeles,CA,USA,42.59,17.0653,21,8
411,Torrance,CA,USA,17.91,6.1068,9,3
411,Glendale,CA,USA,39.4,16.3146,17,5
411,Long Beach,CA,USA,32.47,12.0482,18,6
411,Arcadia,CA,USA,37.98,16.8642,17,5
411,West Covina,CA,USA,35.44,13.4244,18,6
411,Bellflower,CA,USA,58.43,22.3295,23,7
411,Beverly Hills,CA,USA,12.09,5.5842,9,3
411,Lakewood,CA,USA,52.18,20.5762,21,6
411,San Gabriel,CA,USA,67.58,26.4942,28,10
411,Pomona,CA,USA,4.08,1.9992,3,1
411,Downey,CA,USA,41.34,16.4844,18,7
409,Lakewood,CA,USA,178.77,69.386,86,29
409,Beverly Hills,CA,USA,119.53,49.3293,51,15
409,Downey,CA,USA,272.14,111.796,133,38
409,Altadena,CA,USA,129.26,52.4408,65,21
409,Woodland Hills,CA,USA,114.76,43.7964,52,17
409,Newport Beach,CA,USA,121.89,47.3104,52,18
409,San Gabriel,CA,USA,47.68,20.0374,18,6
409,Bellflower,CA,USA,234.61,94.2262,106,32
409,Arcadia,CA,USA,79.83,33.1295,39,12
409,Pomona,CA,USA,108.08,42.3115,54,17
409,Long Beach,CA,USA,101.49,40.4242,42,12
409,Burbank,CA,USA,116.14,47.4784,54,16
445,Torrance,CA,USA,38.2,12.7124,15,4
445,Woodland Hills,CA,USA,29.16,12.3857,16,6
445,Long Beach,CA,USA,64.06,24.8876,34,10
445,Newport Beach,CA,USA,59.14,22.6181,26,9
445,Santa Monica,CA,USA,36.88,14.6912,17,6
445,Glendale,CA,USA,107.85,44.7571,47,13
445,Altadena,CA,USA,54.12,23.2738,25,8
445,Burbank,CA,USA,30.68,10.2944,10,3
445,Lakewood,CA,USA,42.64,15.917,19,6
445,West Covina,CA,USA,40.91,16.0203,17,6
445,Bellflower,CA,USA,14.83,5.76,5,2
445,Pomona,CA,USA,24.5,9.6567,12,5
446,Burbank,CA,USA,120.82,50.1991,66,19
446,Arcadia,CA,USA,143.14,56.7636,66,23
446,Woodland Hills,CA,USA,147.84,58.2709,73,20
446,Downey,CA,USA,42.28,18.0248,19,6
446,Bellflower,CA,USA,72.92,29.9933,35,10
446,Altadena,CA,USA,181.19,71.1271,71,24
446,Glendale,CA,USA,89.12,35.1809,36,12
446,Lakewood,CA,USA,70.69,27.2825,30,10
446,Santa Monica,CA,USA,25.61,9.0939,13,5
446,Long Beach,CA,USA,170.9,66.6224,71,21
435,Woodland Hills,CA,USA,15.45,5.787,12,4
435,Arcadia,CA,USA,29.43,11.6655,16,6
435,Los Angeles,CA,USA,13.51,5.1648,5,2
435,Santa Monica,CA,USA,40.86,16.9526,18,5
435,Beverly Hills,CA,USA,77.64,31.8375,43,14
435,Long Beach,CA,USA,16.59,7.2648,9,3
435,Torrance,CA,USA,30.5,12.1626,16,5
435,Altadena,CA,USA,57.18,23.0266,20,7
435,Downey,CA,USA,103.94,38.3264,44,13
435,Newport Beach,CA,USA,53.38,22.6387,22,6
435,Bellflower,CA,USA,12.83,4.5411,5,2
435,West Covina,CA,USA,8.28,2.754,5,2
435,Burbank,CA,USA,50.89,20.4468,23,7
439,Lakewood,CA,USA,53.84,20.7907,27,10
439,San Gabriel,CA,USA,90.18,34.1146,44,14
439,Torrance,CA,USA,33.73,14.765,18,5
439,Glendale,CA,USA,39.53,17.0068,22,7
439,Burbank,CA,USA,58.27,23.9511,28,10
439,West Covina,CA,USA,23.28,8.8857,15,5
439,Long Beach,CA,USA,16.36,5.8322,8,3
439,Pomona,CA,USA,37.32,16.0157,19,6
439,Woodland Hills,CA,USA,35.27,12.6856,15,5
439,Newport Beach,CA,USA,73.69,30.5991,32,9
439,Santa Monica,CA,USA,67.29,26.5571,30,10
450,Downey,CA,USA,64.13,24.6679,32,10
450,Long Beach,CA,USA,49.22,20.7794,17,5
450,Torrance,CA,USA,64.72,27.8624,25,7
450,Beverly Hills,CA,USA,171.5,66.5815,74,24
450,Bellflower,CA,USA,45.6,17.5619,21,6
450,Glendale,CA,USA,95.9,36.4898,38,13
450,Newport Beach,CA,USA,23.59,9.6828,8,3
450,Santa Monica,CA,USA,6.72,2.5536,4,1
450,Woodland Hills,CA,USA,80.86,34.1275,43,13
469,Long Beach,CA,USA,61.11,25.1703,35,12
469,Torrance,CA,USA,178.11,71.0302,83,27
469,San Gabriel,CA,USA,41.39,14.8932,16,6
469,Beverly Hills,CA,USA,92.27,36.5203,45,15
469,Altadena,CA,USA,88.65,35.2628,35,12
469,West Covina,CA,USA,61.88,24.0057,27,9
469,Bellflower,CA,USA,148.43,56.9523,70,23
469,Lakewood,CA,USA,3.08,1.078,2,1
469,Downey,CA,USA,48.48,19.3532,23,8
469,Burbank,CA,USA,58.57,23.4288,25,8
469,Santa Monica,CA,USA,72.75,26.2696,34,12
469,Newport Beach,CA,USA,22.32,10.2462,9,3
469,Pomona,CA,USA,10.48,4.7454,8,3
469,Los Angeles,CA,USA,53.13,22.2945,17,6
469,Glendale,CA,USA,63.33,25.3011,19,6
472,Downey,CA,USA,155.17,64.2759,85,28
472,Altadena,CA,USA,69.65,28.3646,29,9
472,Long Beach,CA,USA,41.58,16.627,15,5
472,Arcadia,CA,USA,80.98,30.96,38,14
472,Beverly Hills,CA,USA,32.45,13.6831,19,5
472,Santa Monica,CA,USA,79.84,31.7194,37,12
472,Bellflower,CA,USA,112.77,42.7644,45,15
472,Lakewood,CA,USA,43.83,16.755,15,5
472,Burbank,CA,USA,59.81,23.0116,38,12
472,West Covina,CA,USA,82.27,31.1899,27,8
472,Glendale,CA,USA,104.72,40.9555,45,15
472,Torrance,CA,USA,57.89,22.9488,20,6
472,Woodland Hills,CA,USA,29.82,13.1156,14,5
472,Newport Beach,CA,USA,29.05,12.7751,15,5
472,San Gabriel,CA,USA,21.67,9.2162,12,4
470,Beverly Hills,CA,USA,57.9,22.0366,32,10
470,Glendale,CA,USA,195.07,76.9396,88,27
470,Los Angeles,CA,USA,104.12,40.4044,45,14
470,Woodland Hills,CA,USA,47.09,19.1461,18,6
470,Pomona,CA,USA,86.16,35.511,50,17
470,Lakewood,CA,USA,107.5,40.9815,52,17
470,Torrance,CA,USA,47.51,18.0282,24,8
470,Long Beach,CA,USA,45.75,18.7496,26,8
470,San Gabriel,CA,USA,61.89,26.556,30,9
470,Altadena,CA,USA,22.54,8.031,16,5
470,Arcadia,CA,USA,64.95,27.2608,29,10
470,West Covina,CA,USA,181.86,73.8392,76,23
470,Bellflower,CA,USA,80.85,32.6543,37,12
470,Santa Monica,CA,USA,9.44,3.2376,11,3
470,Downey,CA,USA,21.5,7.508,12,4
470,Burbank,CA,USA,46.29,19.1163,19,6
476,Arcadia,CA,USA,103.41,40.3183,48,16
476,Torrance,CA,USA,69.45,27.0402,29,9
476,Lakewood,CA,USA,14.35,6.888,7,2
476,Los Angeles,CA,USA,59.24,23.5144,23,7
